Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
3.578,50,64.73,64.8,66.19,66.1,67.19,67,67.07,67,68.1,68.35,66.96,67.48,-2.01E-47,1.67E-46,4.02E-47,1.87E-46,1.88E-46,9.92E-47,6.74E-47,3.55E-46,1.68E-45,6.62E-46,1.68E-45,3.87E-45,3.10E-45,0,0,66.2,65.9,66.3,66,0,81.7,15.5,71.5,5.1,0.1,0,0,0,0,23.27,1,29,106.5,87.5,61.1,0,0,0,0,0,100,100,57,56,0,67.52,70.52,68.4,71.29,1.34E-45,5.60E-46,1.49E-45
13.57,50,64.77,64.8,66.19,66.1,67.19,67,67.11,67,68.1,68.35,66.92,67.48,-1.35E-47,1.61E-46,4.02E-47,1.87E-46,1.83E-46,9.39E-47,7.27E-47,3.50E-46,1.68E-45,6.44E-46,1.68E-45,3.87E-45,3.10E-45,0,0,66.2,65.9,66.3,66,0,81.8,15.6,71.5,5.4,0.3,0,0,0,0,23.27,1,29,106.3,87.3,61.1,0,0.2,0,0,0,100,100,57,56,30,67.52,70.52,68.4,71.29,1.28E-45,6.04E-46,1.62E-45
23.57,50,64.77,65.8,66.23,66.2,67.23,67.6,67.11,67.3,68.06,68.35,66.92,67.48,-0.8275,6.34,1.927,7.44,8.118,3.819,3.133,15.07,1.68E-45,28.54,2.07E-46,159.3,133.5,0.8,0,65.4,64.8,66,66,0,81.8,16.4,71.4,5.4,0.9,0,0,25.03,711.8,23.27,6,0,105.9,87.5,60.1,0,0,0,0,0,100,100,57,56,30,67.52,70.52,69.01,70.96,50.71,38.61,67.62
33.84,50,64.94,67.2,66.23,66.4,67.27,67,67.19,67.3,68.02,68.19,66.92,67.4,-0.8506,8.451,1.7,9.3,10.96,5.806,4.071,20.83,1.68E-45,38.52,1.54E-46,243.6,203,0,0,66.6,66.5,66.3,66,0,82,15.4,71.5,4.8,0,0,0,35.01,995.6,23.27,6,0,105.9,87.5,62.1,0,0.3,1,0,0,100,100,57,56,30,67.52,70.36,69.38,69.57,71.49,97.7,104.3
43.58,50,65.27,66.4,66.28,66.5,67.27,67,67.23,67,67.98,67.86,66.76,67.24,-0.4545,7.972,1.264,6.254,8.905,4.253,4.248,17.41,1.68E-45,31.31,1.89E-46,254.9,211.8,0.7,0,65.8,65.3,66,65.6,0,82.2,16.4,71.4,4.8,1.2,0,0,27.79,790.5,23.27,6,0,105.5,87.5,60.6,0,0,0,0,0,100,100,57,56,30,67.32,69.79,68.44,68.79,77.5,102,152.9
53.57,50,65.47,66.8,66.36,66.4,67.27,67,67.27,67.2,67.9,67.7,66.63,67.07,-0.01965,6.735,2.156,4.56,7.897,2.47,3.925,14.29,1.68E-45,27.77,2.13E-46,257.5,213.9,0,0,66.2,65.9,66,66,0,82.3,16,71.5,5.5,0,0,0,24.25,689.7,23.27,6,0,105.3,87.5,60.6,0,0,0.6,0,0,100,100,57,56,30,66.95,69.17,68.11,68.34,72.72,94.2,198.2
63.57,50,65.72,67,66.4,66.5,67.27,66.8,67.19,67,67.73,67.57,66.68,67.07,-0.8951,5.832,1.709,3.227,6.081,2.472,3.565,12.12,1.68E-45,21.38,2.77E-46,256.4,214.2,0,0,66.4,66.2,66.6,66.5,0,82.7,16.1,71.4,4.8,0,0,0,17.86,508.1,23.27,6,0,105.3,87.5,61.1,0,0.2,0.5,0,0,100,100,57,56,30,66.58,68.6,67.87,68.06,69.35,85.55,197
73.58,50,65.96,67,66.48,66.7,67.19,66.8,67.19,67,67.65,67.41,66.72,67.07,-0.02084,4.953,2.581,2.351,4.632,2.113,3.208,9.953,1.68E-45,16.29,3.63E-46,256.1,214.8,0.2,0,66.6,66.4,66.6,66.5,0,82.7,16.3,71.5,4.8,0.3,0,0,12.77,363.2,23.27,6,0,105.3,87.5,61.1,0,0,0.2,0,0,100,100,57,56,30,66.46,68.11,67.79,67.81,72.05,77,205.4
83.57,50,66.17,67.2,66.56,66.7,67.19,67,67.19,67,67.57,67.33,66.76,67.12,-0.02087,4.084,2.585,1.478,3.542,1.751,3.216,8.51,1.68E-45,12.45,4.75E-46,256.4,215.4,0.3,0,66.4,66.2,66.3,66,0,82.7,16.1,71.5,5.2,0,0,0,8.939,254.2,23.27,6,0,105.3,87.5,61.1,0,0,0.5,0,0,100,100,57,56,30,66.46,67.74,67.62,67.73,76.5,77.2,214.4
93.84,50,66.29,67.3,66.64,66.8,67.19,67,67.15,67,67.45,67.25,66.84,67.16,-0.4581,3.209,2.148,0.6033,3.151,1.738,2.828,7.718,1.68E-45,11.08,5.34E-46,256.6,213.8,0.2,0,66.6,66.4,66.6,66.5,0,82.8,16.4,71.5,5.2,0,0,0,7.563,215.1,23.27,6,0,105.3,87.5,61.1,0,0,0.5,0,0,100,100,57,56,30,66.46,67.49,67.58,67.65,74.38,67.88,214.9
103.6,50,66.45,67.2,66.77,66.8,67.15,67,67.15,67.2,67.41,67.21,66.88,67.16,-0.02025,2.775,2.151,0.6039,2.819,1.02,2.492,6.331,1.68E-45,9.911,5.97E-46,256.8,216.2,0.4,0,66.6,66.4,66.3,66,0,82.8,16.2,71.5,5.1,0.3,0,0,6.395,181.9,23.27,6,0,105.7,87.5,62.1,0,0.2,0.3,0,0,100,100,57,56,30,66.29,67.33,67.58,67.6,64.31,59.8,232.4
113.6,50,66.58,67.3,66.85,67,67.19,66.8,67.11,67,67.37,67.21,66.96,67.24,-0.9009,2.787,1.72,0.1663,2.444,1.017,2.486,5.948,1.68E-45,8.594,6.88E-46,258,215.7,0.6,0,66.6,66.5,66.6,66.5,0,82.7,16.1,71.5,4.9,0,0,0,5.078,144.4,23.27,6,0,105.5,87.5,62.1,0,0.2,0.1,0,0,100,100,57,56,30,66.01,67.16,67.58,67.6,57.75,59.66,233.6
123.6,50,66.66,67.3,66.93,67,67.15,67,67.15,67.2,67.32,67.16,66.96,67.28,-0.02017,1.891,1.706,0.165,2.431,0.2802,2.839,5.55,1.68E-45,8.546,6.92E-46,255.9,214.6,0.4,0,66.6,66.5,66.3,66,0,83,16.2,71.4,5.2,0,0,0,5.03,143.1,23.27,6,0,105.7,87.7,62.1,0,0.2,0.3,0,0,100,100,57,56,30,65.68,66.96,67.54,67.6,35.43,68.14,249.2
133.6,50,66.78,67.5,66.97,67.2,67.15,67,67.11,67,67.28,67.12,67.04,67.32,-0.457,1.892,1.707,-0.2711,1.691,0.6433,2.461,4.795,1.68E-45,5.944,9.95E-46,256,213.5,0.4,0,66.8,66.7,66.6,66.5,0,82.8,16,71.5,4.8,0.1,0,0,2.428,69.06,23.27,6,0,105.9,87.5,62.1,0,0.2,0.3,0,0,100,100,57,56,30,65.39,66.8,67.54,67.56,32.35,59.07,240.5
143.6,50,66.86,67.3,67.01,67,67.11,67,67.11,67,67.2,67.08,67.08,67.32,-0.01957,1.021,1.272,-0.271,1.328,0.6431,2.099,4.069,1.68E-45,4.668,1.27E-45,256.5,213.7,0.6,0,66.6,66.5,66.6,66.5,0,83,16.4,71.4,4.8,0,0,0,1.152,32.76,23.27,6,0,106.1,87.5,61.6,0,0.2,0.1,0,0,100,100,57,56,30,64.98,66.59,67.54,67.56,15.23,50.37,241.1
153.9,50,66.95,67.5,67.09,67.2,67.11,67,67.11,67,67.2,67.08,67.08,67.36,-0.0195,1.017,1.268,-0.2701,1.335,-0.08613,2.479,3.728,1.68E-45,4.695,1.26E-45,255.6,215,0.6,0,66.6,66.4,66.6,66.5,0,83,16.4,71.5,5.1,0,0,0,1.179,33.54,23.27,6,0,106.3,87.5,62.1,0,0,0.3,0,0,100,100,57,56,30,64.37,66.43,67.54,67.56,11.86,59.49,253.5
163.6,50,66.99,67.5,67.14,67,67.07,66.7,67.11,67,67.12,67.04,67.17,67.36,0.418,0.1463,0.8363,-0.272,1.331,0.28,1.74,3.351,1.68E-45,4.681,1.26E-45,256.8,214.4,0.6,0,66.6,66.5,66.6,66.5,0,82.8,16.2,71.4,4.8,0,0,0,1.165,33.13,23.27,6,0,106.5,87.3,62.1,0,0.3,0.3,0,0,100,100,57,56,30,63.67,66.14,67.54,67.56,1.422,41.75,250.1
173.6,50,67.07,67.3,67.18,67.2,67.07,66.8,67.11,66.8,67.04,67,67.17,67.36,0.4179,0.73,0.398,-0.7101,0.9712,-0.08632,1.749,2.634,1.68E-45,3.415,1.68E-45,256.8,215.5,0.4,0,66.6,66.5,66.6,66.5,0,82.7,16.1,71.4,4.8,0,0,0,0,0,23.27,6,0,106.7,87.5,62.1,0,0,0.3,0,0,100,100,57,56,30,63.06,65.77,67.54,67.56,6.455,41.97,254.7
183.6,50,67.11,67.5,67.18,67.2,67.03,66.7,67.07,66.8,67,67,67.25,67.36,0.4196,0.7336,0.04097,-0.2731,0.6056,0.6516,1.019,2.276,1.68E-45,2.129,1.68E-45,257.8,216.5,0.2,0,66.8,66.7,66.6,66.5,0,82.8,16.2,71.5,4.9,0.1,0,0,0,0,23.27,6,0,106.7,87.5,62.1,0,0.1,0.5,0,0,100,100,57,56,30,62.44,65.53,67.58,67.56,5.711,24.45,242.1
193.6,50,67.15,67.3,67.22,67.2,67.03,66.8,67.02,66.7,66.91,66.96,67.25,67.4,-0.02032,1.173,0.4807,-0.7121,0.6022,0.2806,1.38,2.262,1.68E-45,2.117,1.68E-45,257.7,215.3,0.6,0,66.6,66.5,66.3,66,0,82.7,16.1,71.4,5.2,0,0,0,0,0,23.27,6,0,107.1,87.5,62.1,0,0,0,0,0,100,100,57,56,30,61.95,65.24,67.54,67.56,8.56,33.11,251
