Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
3.575,50,65.35,65.4,65.95,65.9,66.33,66.1,67.15,67,68.51,70.52,67.45,67.98,1.32E-46,2.20E-46,3.24E-46,6.76E-46,7.74E-47,1.94E-46,6.74E-47,3.39E-46,1.68E-45,2.72E-46,1.68E-45,3.87E-45,3.10E-45,0.2,0,65.6,65.1,65.2,64.6,0,82.7,17.2,72.5,7.3,0,0,0,0,0,23.27,1,29,106.1,87.8,60.6,0,0.9,0,0,0,100,100,57,56,0,67.23,70.77,68.48,70.92,1.49E-45,6.63E-46,1.55E-45
13.58,50,65.35,65.4,65.91,65.9,66.33,66.1,67.15,67.2,68.51,70.52,67.45,67.98,1.32E-46,2.20E-46,3.24E-46,6.76E-46,7.21E-47,2.00E-46,6.74E-47,3.39E-46,1.68E-45,2.53E-46,1.68E-45,3.87E-45,3.10E-45,0.4,0,65.5,64.9,65.2,64.6,0,82.5,16.9,72.3,6.7,0,0,0,0,0,23.27,1,29,106.5,88,60.6,0,0.8,0,0,0,100,100,57,56,30,67.23,70.81,68.44,70.88,1.48E-45,6.63E-46,1.49E-45
23.59,50,65.35,66.2,65.95,65.9,66.37,67.9,67.11,66.8,68.51,70.52,67.45,67.93,5.256,10.05,14.37,29.68,3.362,8.441,2.699,14.5,1.68E-45,11.82,5.00E-46,171.6,134.6,0,0.9,65.8,65.4,67.7,68,0,82.5,16.7,72.3,4.6,2.7,0,0,-6.659,-36.03,23.27,6,0,106.5,87.8,60.6,0,0,0.4,0,0,100,100,57,56,30,67.23,70.81,69.42,70.59,67.49,55.38,70.8
33.59,50,65.51,67.6,65.95,66.4,66.74,67.6,67.15,67.9,68.47,70.19,67.49,67.89,4.326,14.05,18.29,36.67,3.692,13.1,3.385,20.18,1.68E-45,12.98,4.55E-46,254.8,203.4,0,0,67.1,67.2,67.4,67.5,0,82.8,15.4,72.3,4.9,0,0,0,-2.23,-14.66,23.27,6,0,106.7,88,62.1,0,0.4,1.1,0,0,100,100,57,56,30,67.23,70.73,69.87,69.69,96.57,81.24,72.29
43.58,50,65.92,66.8,66.15,67,66.94,67,67.31,67.2,68.27,69.46,67.29,67.65,4.125,10.75,13.4,28.28,2.043,10.06,3.172,15.27,1.68E-45,7.184,8.23E-46,270,212.3,0.8,0,66,65.6,66.6,66.5,0,83,17,72.5,5.7,0.8,0,0,-7.319,-50.47,23.27,6,0,106.9,87.8,61.1,0,0.2,0,0,0,100,100,57,56,30,67.36,70.19,68.93,69.08,90.93,76.13,67.38
53.58,50,66.13,66.8,66.4,66.7,67.07,67.6,67.35,67.5,68.14,68.84,67.04,67.44,3.226,8.967,7.928,20.12,2.447,5.81,3.595,11.85,1.68E-45,8.603,6.87E-46,271.9,216,0.2,0,66.3,66.1,67,67,0,83.5,17.1,72.3,5.3,0.8,0,0,-2.738,-24.14,23.27,6,0,107.1,88,61.6,0,0,0.3,0,0,100,100,57,56,30,67.11,69.58,68.36,68.51,87.18,86.28,132.4
63.58,50,66.25,67.6,66.48,66.7,67.19,67.3,67.39,67.5,67.98,68.47,67.04,67.48,2.312,6.69,5.645,14.65,2.07,5.053,3.948,11.07,1.68E-45,7.28,8.12E-46,273.6,215.1,0,0,67,67,66.6,66.5,0,83.7,16.8,72.3,5.7,0,0,0,-0.85,-10.46,23.27,6,0,107.3,88,62.6,0,0.2,0.8,0,0,100,100,57,56,30,66.7,69.09,68.15,68.3,67.27,94.75,152.3
73.59,50,66.45,67.5,66.6,67.3,67.23,67.3,67.39,67.2,67.9,68.15,67.13,67.48,1.835,5.724,2.827,10.39,1.338,4.692,3.218,9.248,1.68E-45,4.704,1.26E-45,272,215.4,0.4,0,66.9,66.9,67,67,0,83.7,16.7,72.3,5.3,0.1,0,0,-1.749,-27.11,23.27,6,0,107.5,88,62.1,0,0,0.2,0,0,100,100,57,56,30,66.33,68.52,68.15,68.1,62.95,77.24,159.4
83.59,50,66.66,67.3,66.81,67.2,67.27,67.2,67.39,67.5,67.77,67.9,67.13,67.44,1.368,4.323,1.432,7.123,1.341,2.862,2.858,7.061,1.68E-45,4.715,1.25E-45,271.5,216,0.4,0,66.8,66.7,67,67,0,84,17.2,72.3,5.3,0.3,0,0,-0.0966,-2.008,23.27,6,0,108,87.8,62.1,0,0.2,0.1,0,0,100,100,57,56,30,66.05,68.07,67.95,67.93,51.4,68.59,202.8
93.59,50,66.78,67.5,66.93,67.2,67.27,67.3,67.39,67.3,67.73,67.78,67.17,67.48,1.373,3.873,0.5082,5.755,1.335,2.114,2.844,6.293,1.68E-45,4.693,1.26E-45,272.4,214.9,0.4,0,66.9,66.9,67,67,0,84,17.1,72.5,5.5,0,0,0,-0.1351,-2.797,23.27,6,0,108,88,62.1,0,0,0.2,0,0,100,100,57,56,30,65.88,67.74,67.91,67.89,50.13,68.26,221.7
103.6,50,66.95,67.6,67.01,67.3,67.27,67.3,67.39,67.3,67.65,67.66,67.25,67.52,1.37,2.937,0.04252,4.35,0.5991,2.104,2.467,5.17,1.68E-45,2.107,1.68E-45,271.9,214,0.4,0,66.9,66.9,67,67,0,84.2,17.1,72.3,5.3,0.1,0,0,-1.302,-27.02,23.27,6,0,108.2,88,62.6,0,0,0.3,0,0,100,100,57,56,30,65.84,67.41,67.91,67.85,44.96,59.2,221.4
113.6,50,67.07,67.5,67.18,67.5,67.27,67.2,67.39,67.3,67.57,67.57,67.29,67.57,1.37,2.009,0.0425,3.421,0.9643,1.01,2.466,4.44,1.68E-45,3.391,1.68E-45,271.8,214,0.5,0,67,67,66.6,66.5,0,84.2,17.2,72.5,5.7,0,0,0,-1.3,-27,23.27,6,0,108.4,88,62.6,0,0.1,0,0,0,100,100,57,56,30,65.88,67.21,67.87,67.81,36.47,59.18,247.5
123.6,50,67.19,67.6,67.22,67.3,67.31,67.3,67.39,67.3,67.57,67.53,67.33,67.61,0.9053,2.007,0.4209,2.492,0.2349,1.014,2.476,3.724,1.68E-45,0.826,1.68E-45,271.5,214.8,0.4,0,67.1,67.2,66.6,66.5,0,84.2,16.9,72.3,5.7,0,0,0,0,0,23.27,6,0,108.6,88,63.1,0,0,0.1,0,0,100,100,57,56,30,66.05,67.12,67.87,67.81,44.76,59.41,247.2
133.6,50,67.23,67.8,67.3,67.5,67.31,67.3,67.39,67.5,67.53,67.49,67.37,67.61,0.9074,1.547,0.4212,2.033,0.6004,0.6459,2.105,3.351,1.68E-45,2.111,1.68E-45,272.2,214.4,0.1,0,67.2,67.3,67.4,67.5,0,84.2,17.2,72.2,4.9,0,0,0,0,0,23.27,6,0,108.6,88,62.6,0,0,0.1,0,0,100,100,57,56,30,66.5,67,67.87,67.81,37.13,50.52,256.7
143.6,50,67.31,67.6,67.38,67.5,67.35,67.3,67.43,67.3,67.53,67.49,67.41,67.65,0.9053,1.08,0.4202,1.565,0.6008,0.2804,2.109,2.99,1.68E-45,2.112,1.68E-45,271.5,214.8,0.3,0,67.2,67.3,67,67,0,84.2,17.1,72.3,5.3,0,0,0,0,0,23.27,6,0,108.8,88,62.6,0,0,0.1,0,0,100,100,57,56,30,66.74,67.04,67.87,67.81,25.92,50.62,264.8
153.8,50,67.4,67.8,67.42,67.5,67.39,67.5,67.47,67.5,67.53,67.49,67.45,67.65,0.9036,0.6162,0.4194,1.1,0.2355,0.2812,1.748,2.264,1.68E-45,0.828,1.68E-45,271,215.3,0.3,0,67.2,67.3,67,67,0,84.2,17,72.3,4.9,0,0,0,0,0,23.27,6,0,109.2,87.8,62.6,0,0.2,0.3,0,0,100,100,57,56,30,66.66,67.16,67.91,67.81,14.79,41.94,264.3
163.6,50,67.44,67.8,67.46,67.6,67.44,67.5,67.47,67.5,67.57,67.49,67.49,67.73,0.4422,1.082,0.8848,0.6395,0.2347,0.2803,2.108,2.623,1.68E-45,0.8254,1.68E-45,271.7,214.7,0.4,0,67.2,67.3,67,67,0,84.3,17.1,72.2,5.3,0.3,0,0,0,0,23.27,6,0,109.2,88,63.1,0,0.2,0.3,0,0,100,100,57,56,30,66.29,67.21,67.87,67.81,25.97,50.6,265
173.6,50,67.52,67.9,67.46,67.6,67.39,67.3,67.52,67.5,67.57,67.49,67.58,67.77,1.377,0.6217,0.8895,1.109,0.4979,1.014,1.744,2.26,1.68E-45,1.751,1.68E-45,273.2,214.9,0.2,0,67.4,67.5,67.4,67.5,0,84.3,17.2,72.2,4.9,0,0,0,-1.325,-27.37,23.27,6,0,109.4,87.8,62.6,0,0.3,0.3,0,0,100,100,57,56,30,65.68,67.16,67.95,67.81,10.04,41.86,248.8
183.6,50,67.52,67.8,67.5,67.6,67.44,67.3,67.52,67.3,67.53,67.53,67.58,67.77,0.9062,0.1542,0.0432,1.104,0.1312,0.6469,1.744,2.26,1.68E-45,0.4612,1.68E-45,271.8,214.9,0.2,0,67.2,67.5,67,67,0,84.3,16.8,72.3,5.3,0.2,0,0,0,0,23.27,6,0,109.6,88,63.1,0,0,0.2,0,0,100,100,57,56,30,65.06,66.96,67.95,67.81,1.952,41.86,256.3
193.6,50,67.56,67.8,67.54,67.6,67.44,67.5,67.52,67.5,67.49,67.45,67.62,67.77,0.9069,0.3092,0.4209,0.1767,0.1317,0.6448,1.372,1.885,1.68E-45,0.4632,1.68E-45,272,214.1,0.4,0,67.2,67.3,67,67,0,84.2,17,72.3,5.3,0,0,0,0,0,23.27,6,0,109.8,88,63.1,0,0,0.3,0,0,100,100,57,56,30,64.37,66.67,67.99,67.81,3.22,32.92,256.5
203.6,50,67.6,67.8,67.59,67.6,67.44,67.2,67.52,67.3,67.45,67.45,67.62,67.77,0.9058,0.7731,0.04387,0.1765,0.1325,0.2811,1.38,1.528,1.68E-45,0.4658,1.68E-45,271.7,215.3,0.5,0.1,67.1,67.2,67.4,67.5,0,84.2,17.2,72.3,4.9,0,0,0,0,0,23.27,6,0,110.1,88,62.6,0,0,0.2,0,0,100,100,57,56,30,63.71,66.43,67.99,67.81,6.836,33.11,264.9
213.9,50,67.64,67.9,67.59,67.6,67.39,67.3,67.52,67.3,67.41,67.41,67.62,67.81,1.368,1.235,0.04315,0.1764,0.502,0.2823,1.754,1.535,1.68E-45,1.765,1.68E-45,271.5,216.2,0.4,0,67.2,67.3,67,67,0,84.3,17.1,72.3,5.2,0,0,0,-1.296,-26.93,23.27,6,0,110.3,87.8,62.6,0,0.1,0.3,0,0,100,100,57,56,30,63.06,66.18,67.99,67.81,9.49,42.11,264.7
223.6,50,67.64,67.8,67.59,67.6,67.39,67.3,67.47,67.3,67.37,67.41,67.62,67.81,0.9064,1.237,0.5072,0.1767,0.5001,0.2813,1.748,1.529,1.68E-45,1.758,1.68E-45,271.9,215.4,0.5,0,67,67,67,67,0,84.2,17.2,72.3,5.3,0,0,0,0,0,23.27,6,0,110.3,87.8,63.1,0,0.1,0.2,0,0,100,100,57,56,30,62.28,65.81,67.99,67.85,8.402,41.95,265.1
233.6,50,67.64,67.8,67.63,67.5,67.35,67.2,67.47,67.2,67.28,67.37,67.7,67.81,1.37,2.164,0.9696,0.1752,0.1332,0.652,1.018,1.537,1.68E-45,0.4683,1.68E-45,271.8,216.4,0.6,0,67,67,67,67,0,84,16.9,72.3,5.2,0,0,0,-1.299,-26.98,23.27,6,0,110.7,88,62.1,0,0.2,0.2,0,0,100,100,57,56,30,61.58,65.53,67.99,67.85,13.17,24.43,256.2
243.6,50,67.64,67.8,67.63,67.6,67.31,67,67.43,67,67.24,67.33,67.66,67.81,1.372,2.167,0.9715,0.1762,0.1324,0.2814,1.378,1.527,1.68E-45,0.4654,1.68E-45,272.2,215.1,0.5,0,67,67,67,67,0,83.7,16.7,72.3,5.3,0,0,0,-1.308,-27.11,23.27,6,0,110.7,88,62.1,0,0.2,0.3,0,0,100,100,57,56,30,61.05,65.24,67.99,67.85,12.42,33.07,265.4
253.6,50,67.64,67.8,67.59,67.5,67.27,67,67.39,67.2,67.16,67.25,67.66,67.77,1.373,2.634,0.9722,-0.2885,0.5034,0.6536,1.019,1.169,1.68E-45,1.77,1.68E-45,272.4,216.8,0.7,0,66.9,66.9,67,67,0,83.5,16.6,72.3,5.5,0.1,0,0,-1.311,-27.16,23.27,6,0,110.7,87.8,62.6,0,0.2,0.2,0,0,100,100,57,56,30,60.52,64.87,67.99,67.85,14.52,24.45,256.7
263.6,50,67.64,67.8,67.63,67.5,67.23,67,67.35,67.2,67.12,67.21,67.62,67.77,1.361,2.61,0.9629,-0.286,0.1326,-0.08632,1.381,1.162,1.68E-45,0.4663,1.68E-45,270,215.5,0.7,0,66.9,66.9,66.6,66.5,0,83,16.2,72.5,5.7,0,0,0,-1.269,-26.51,23.27,6,0,110.9,87.8,62.6,0,0.4,0.2,0,0,100,100,57,56,30,60.03,64.63,67.95,67.81,13.62,33.15,267.9
273.9,50,67.64,67.6,67.59,67.5,67.19,66.8,67.35,67,67.04,67.16,67.62,67.73,1.838,3.564,1.437,-0.2893,0.5014,0.282,1.016,0.7965,1.68E-45,1.763,1.68E-45,272.5,215.9,0.6,0,66.9,66.9,66.6,66.5,0,82.5,15.7,72.5,5.9,0,0,0,-2.945,-45.58,23.27,6,0,111.1,87.8,62.1,0,0,0.3,0,0,100,100,57,56,30,59.7,64.34,67.95,67.81,18.44,24.38,265.7
283.6,50,67.64,67.8,67.59,67.3,67.15,66.8,67.31,66.8,66.96,67.04,67.58,67.73,1.848,4.053,0.9789,-1.226,0.499,-0.08608,1.378,0.7927,1.68E-45,1.754,1.68E-45,274.1,214.9,0.7,0,66.9,66.9,66.6,66.5,0,82.2,15.4,72.3,5.9,0,0,0,-2.983,-45.9,23.27,6,0,111.3,88,62.1,0,0,0.3,0,0,100,100,57,56,30,59.29,64.09,67.91,67.81,20.25,33.07,272
293.6,50,67.6,67.6,67.54,67.5,67.07,66.7,67.23,66.8,66.83,67,67.53,67.69,1.833,4.482,1.897,-0.7515,0.5026,-0.08615,1.387,0.7979,1.68E-45,1.767,1.68E-45,271.7,216.5,0.9,0,66.6,66.5,66.3,66,0,81.7,14.9,72.5,6.4,0,0,0,-2.93,-45.46,23.27,6,0,111.6,88,62.1,0,0.1,0.1,0,0,100,100,57,56,30,59,63.89,67.87,67.77,22.02,33.28,269.7
303.6,50,67.56,67.6,67.54,67.3,67.03,66.7,67.19,66.8,66.75,66.92,67.53,67.65,1.841,4.966,1.905,-1.22,0.1321,-0.08544,1.01,0.7919,1.68E-45,0.4645,1.68E-45,272.9,214.7,0.5,0,66.8,66.7,66.6,66.5,0,81.2,14.6,72.7,6.4,0,0,0,-2.956,-45.67,23.27,11,0,111.6,88,62.1,0,0.1,0.3,0,0,100,100,57,56,30,58.8,63.73,67.83,67.73,24.2,24.23,270.9
