Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
3.674,50,68.05,68.1,68.61,68.4,68.7,68.4,69.19,69.2,71.21,72.57,70.4,70.8,7.89E-47,3.26E-46,2.18E-46,6.23E-46,7.21E-47,2.31E-46,5.15E-47,3.55E-46,1.68E-45,2.53E-46,1.68E-45,3.87E-45,3.10E-45,0.4,0,68.2,68.6,67.7,68,0,83.8,15.6,73.6,5.4,0,0,0,0,0,23.27,1,29,111.6,90.1,64.1,0,0.6,0,0,0,100,100,46,56,0,70.22,72.08,71.14,72.31,4.21E-45,1.06E-45,-2.28E-46
13.57,50,68.05,68.3,68.61,68.6,68.7,68.6,69.15,69,71.21,72.57,70.44,70.8,7.23E-47,3.32E-46,2.18E-46,6.23E-46,7.21E-47,2.37E-46,4.63E-47,3.55E-46,1.68E-45,2.53E-46,1.68E-45,3.87E-45,3.10E-45,0.2,0,68.2,68.6,67.7,68,0,84,15.8,73.6,5.8,0,0,0,0,0,23.27,1,29,111.6,90.3,63.6,0,0.6,0,0,0,100,100,46,56,30,70.18,72.12,71.14,72.31,4.12E-45,9.49E-46,-3.22E-46
23.57,50,68.05,69.2,68.61,68.4,68.75,70.4,69.15,69.2,71.21,72.53,70.44,70.8,2.873,14.53,9.263,26.67,3.577,11.74,2.296,17.61,1.68E-45,12.57,4.70E-46,169.2,153.7,0,1.4,69,69.8,70.6,72,0,83.8,14.7,73.5,3.2,1.8,0,0,2.472,24.47,23.27,1,29,111.3,90.3,64.6,0,0,0.8,0,0,100,100,46,56,30,70.18,72.08,71.55,72.19,184,55.1,-45.21
33.57,50,68.38,70.4,68.65,69.5,69.16,70,69.28,70.4,71.17,72.24,70.48,70.76,1.119,17.54,9.879,28.54,2.295,15.47,2.334,20.1,1.68E-45,8.069,7.33E-46,221.9,202.6,0,0,70.2,71.4,69.5,71,0,84.2,14,73.5,4,0,0,0,4.136,105.2,23.27,1,29,110.9,90.3,66.5,0,0.4,0.9,0,0,100,100,46,56,30,70.22,72.04,71.84,71.7,232.1,56.02,-125.6
43.56,50,68.79,69.5,68.9,70,69.36,69.4,69.52,69.7,70.89,71.59,70.2,70.43,1.557,13.12,6.728,21.4,0.9589,11.54,2.09,14.59,1.68E-45,3.372,1.68E-45,230.7,212.9,1.1,0,68.7,69.4,69.2,70,0,84.3,15.6,73.6,4.4,0.1,0,0,-1.957,-35.76,23.27,6,0,110.9,90.3,64.6,0,0.3,0,0,0,100,100,46,56,30,70.35,71.75,71.31,71.21,224.3,50.16,-46.22
53.58,50,68.87,69.5,69.1,68.9,69.44,70.1,69.64,69.8,70.72,71.05,69.99,70.19,1.991,10.59,3.254,15.83,2.06,7.948,1.737,11.75,1.68E-45,7.244,8.16E-46,235.6,214.1,0,0.1,69.1,69.9,69.9,71,0,84.3,15,73.5,3.2,1.4,0,0,0.2428,3.468,23.27,6,0,110.7,90.3,64.6,0,0,0.6,0,0,100,100,46,56,30,70.22,71.38,70.78,70.84,219.3,41.69,44.89
63.57,50,69.07,70.1,69.14,69.4,69.65,70,69.69,70.1,70.6,70.81,69.95,70.19,0.3872,9.065,2.067,11.52,0.6047,7.282,2.12,10.01,1.68E-45,2.126,1.68E-45,237.9,216,0,0,70.2,71.4,69.5,71,0,84.5,14.3,73.6,4.1,0,0,0,0,0,23.27,6,0,110.3,90.3,66,0,0.3,0.6,0,0,100,100,46,56,30,69.98,71.05,70.65,70.72,202.1,50.89,63.15
73.58,50,69.28,70,69.31,69.8,69.69,69.5,69.77,70,70.4,70.52,69.91,70.15,0.7959,6.244,1.259,8.3,0.2371,5.462,2.13,7.829,1.68E-45,0.8337,1.68E-45,238.7,216.8,0.1,0,69.7,70.7,69.2,70,0,84.5,14.8,73.6,4.4,0,0,0,0,0,23.27,6,0,110.3,90.1,66,0,0.3,0.2,0,0,100,100,46,56,30,69.77,70.85,70.65,70.59,139.2,51.11,107.6
83.58,50,69.48,70,69.47,69.7,69.73,69.8,69.85,69.8,70.31,70.32,69.91,70.1,1.205,4.622,0.03739,5.865,0.1323,3.948,1.745,5.56,1.68E-45,0.4652,1.68E-45,239.1,215,0.1,0,69.6,70.6,69.5,70.5,0,84.8,15.2,73.5,3.6,0.3,0,0,-0.7206,-17.01,23.27,6,0,109.8,90.1,66,0,0,0.3,0,0,100,100,46,56,30,69.69,70.52,70.45,70.47,110.9,41.87,144.3
93.57,50,69.52,70.1,69.59,69.7,69.81,70,69.81,69.8,70.27,70.24,69.91,70.1,-0.01959,4.655,0.3726,4.263,0.5989,2.833,1.736,5.168,1.68E-45,2.106,1.68E-45,240.7,213.9,0,0,70.1,71.2,69.5,70.5,0,84.9,15.1,73.6,4.1,0,0,0,0,0,23.27,6,0,109.8,90.3,66.5,0,0,0.4,0,0,100,100,46,56,30,69.61,70.36,70.41,70.39,111.7,41.66,172.7
103.6,50,69.65,70.3,69.67,70,69.85,69.8,69.89,69.8,70.23,70.15,69.95,70.15,0.3931,3.428,0.7852,3.036,0.235,2.481,1.744,4.46,1.68E-45,0.8264,1.68E-45,241.1,214.9,0,0.1,70,71.1,69.9,71,0,84.9,14.9,73.6,3.7,0,0,0,0,0,23.27,6,0,109.6,90.1,66.5,0,0,0.3,0,0,100,100,46,56,30,69.69,70.24,70.45,70.39,82.27,41.85,181.6
113.6,50,69.77,70.1,69.76,69.8,69.89,70,69.89,69.8,70.15,70.11,69.95,70.15,-0.01841,2.606,0.3733,2.214,0.1326,1.752,1.748,3.368,1.68E-45,0.4662,1.68E-45,241.2,215.5,0.2,0.1,69.8,70.9,69.9,71,0,85.1,15.1,73.6,3.9,0,0,0,0,0,23.27,6,0,109.6,90.1,66.5,0,0,0.1,0,0,100,100,46,56,30,69.86,70.11,70.41,70.31,62.53,41.95,199.2
123.6,50,69.85,70.3,69.88,70,69.93,69.8,69.93,70,70.15,70.11,69.99,70.19,-0.01901,2.194,0.3732,1.802,0.235,1.017,1.748,3,1.68E-45,0.8263,1.68E-45,241.2,215.4,0,0,70.2,71.4,69.9,71,0,85.3,15.2,73.6,4.1,0,0,0,0,0,23.27,6,0,109.4,90.3,66.5,0,0.2,0.5,0,0,100,100,46,56,30,70.14,70.07,70.37,70.35,52.65,41.96,216.8
