Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
3.581,50,63.67,63.7,64.64,64.5,65.55,65.4,66.45,66.4,69,71.38,67.41,68.06,1.45E-46,4.11E-46,3.83E-46,9.40E-46,1.25E-46,3.58E-46,8.32E-47,5.66E-46,1.68E-45,4.39E-46,1.68E-45,3.87E-45,3.10E-45,0,0,64.5,63.6,64.1,63.1,0,82.3,17.6,72.2,8.1,0,0,0,0,0,23.27,1,29,109.4,87.3,59.1,0,1,0,0,0,100,100,45,56,0,67.6,71.75,69.14,72.19,2.38E-45,6.54E-46,2.55E-46
13.57,50,63.67,63.7,64.68,64.7,65.55,65.4,66.41,66.4,69,71.38,67.45,68.06,1.38E-46,4.18E-46,3.83E-46,9.40E-46,1.30E-46,3.58E-46,7.80E-47,5.66E-46,1.68E-45,4.58E-46,1.68E-45,3.87E-45,3.10E-45,0,0,64.7,63.8,64.5,63.6,0,82.3,17.8,72,7.9,0,0,0,0,0,23.27,1,29,109.4,87.3,59.1,0,1,0,0,0,100,100,45,56,30,67.56,71.71,69.1,72.19,2.42E-45,6.05E-46,2.55E-46
23.58,50,63.67,65,64.68,64.5,65.59,67.9,66.41,65.8,69,71.38,67.41,68.06,3.447,10.94,10.03,24.42,5.699,15.44,3.644,24.79,1.68E-45,20.04,2.95E-46,101.3,135.6,0,1,64.7,63.8,66.3,66.5,0,82.5,17.5,72.2,5.7,2.2,0,0,7.919,65.34,23.27,6,0,109.4,87.5,59.1,0,0,0.6,0,0,100,100,45,56,30,67.6,71.71,69.92,71.95,63.94,43.09,-54.56
33.58,50,64.08,67.5,64.68,65.8,66.25,67.9,66.33,67.5,68.96,70.89,67.45,67.98,0.4995,16.44,12.04,28.98,4.983,23.06,4.341,32.39,1.68E-45,17.52,3.38E-46,149.8,199.5,0,0,67.4,67.5,67.4,67.5,0,82.7,15.2,72.2,4.8,0,0,0,14,398.3,23.27,6,0,109.2,87.3,62.6,0,0,1.7,0,0,100,100,45,56,30,67.64,71.55,70.45,70.59,101.2,104.2,-137.2
43.59,50,64.73,66.2,64.96,66.8,66.58,66.8,66.53,67.6,68.63,69.99,67.17,67.61,-0.2842,13.96,9,22.68,2.055,19.59,3.919,25.57,1.68E-45,7.225,8.18E-46,159.4,213.6,1.3,0,65.4,64.8,66.3,66,0,83,17.5,72,5.7,1.7,0,0,3.709,105.5,23.27,6,0,109,87.5,61.1,0,0.8,0,0,0,100,100,45,56,30,67.81,70.93,69.34,69.77,107.3,94.06,-187.6
53.59,50,65.14,66.1,65.5,65.9,66.66,66.5,66.82,66.8,68.18,69.17,66.8,67.24,1.074,9.048,6.54,16.66,3.184,11.7,3.963,18.85,1.68E-45,11.19,5.28E-46,159.1,216,0.3,0,65.5,64.9,66,65.6,0,83.2,17.6,72,6.2,0.5,0,0,7.42,196.6,23.27,6,0,108.8,87.3,60.6,0,0.4,0.3,0,0,100,100,45,56,30,67.73,70.03,68.56,68.92,94.22,95.11,-121.8
63.59,50,65.35,66.8,65.66,65.9,66.62,66.2,66.9,66.5,67.94,68.39,66.63,67.12,1.897,6.912,3.026,11.83,2.824,8.782,4.344,15.95,1.68E-45,9.928,5.96E-46,159.9,216.6,0,0.1,66.4,66.2,66.6,66.5,0,83.3,16.7,72,5.6,0,0,0,3.258,48.84,23.27,6,0,108.4,87.5,61.6,0,0,0.7,0,0,100,100,45,56,30,67.36,69.38,68.07,68.46,82.19,104.3,-50.86
73.59,50,65.68,67,65.78,66.7,66.7,66.8,66.82,66.8,67.86,67.98,66.68,67.07,0.807,6.923,0.8451,8.575,0.9674,7.981,3.577,12.52,1.68E-45,3.401,1.68E-45,160.2,214.9,0,0,66.6,66.5,66.6,66.5,0,83.3,16.5,72,5.6,0,0,0,0,0,23.27,6,0,108.2,87.3,62.1,0,0,0.2,0,0,100,100,45,56,30,66.95,68.88,67.99,68.18,85.8,85.84,-31.35
83.59,50,66,66.8,66.07,66.5,66.78,66.7,66.86,66.8,67.69,67.74,66.63,66.99,0.5353,5.569,0.2991,6.403,0.6055,5.079,3.231,8.915,1.68E-45,2.129,1.68E-45,160.5,216.3,0.1,0,66.4,66.2,66.6,66.5,0,83.5,17.1,72,5.4,0,0,0,0,0,23.27,6,0,108,87.3,61.6,0,0.1,0.3,0,0,100,100,45,56,30,66.25,68.35,67.75,67.89,63.64,77.53,38.65
93.59,50,66.17,67,66.28,66.7,66.78,66.5,66.9,66.7,67.45,67.49,66.63,66.95,0.8083,3.647,0.2991,4.755,0.9733,3.23,2.858,7.061,1.68E-45,3.422,1.68E-45,160.4,216,0.1,0,66.4,66.2,66.3,66,0,83.5,17.3,72,5.7,0,0,0,0,0,23.27,6,0,107.7,87.5,62.1,0,0.2,0.5,0,0,100,100,45,56,30,65.43,67.86,67.58,67.73,36.05,68.59,82.84
