Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
3.66,50,61.09,61.1,62.22,62.2,63.67,63.6,64.57,64.5,64.87,67.21,62.87,63.59,1.45E-46,4.84E-47,3.77E-46,5.70E-46,1.46E-46,8.33E-47,9.38E-47,3.23E-46,1.68E-45,5.13E-46,1.68E-45,3.87E-45,3.10E-45,0,0,62.4,60.7,62.3,60.6,0,80.2,17.8,70.8,8.6,0,0,0,0,0,23.27,1,29,101.9,84.8,56.6,0,1.1,0,0,0,100,100,57,56,0,63.43,69.21,64.18,68.22,2.01E-46,5.58E-46,3.01E-45
13.58,50,61.05,61.1,62.22,62,63.67,63.6,64.57,64.7,64.87,67.21,62.87,63.59,1.45E-46,4.84E-47,3.77E-46,5.70E-46,1.51E-46,8.33E-47,9.38E-47,3.28E-46,1.68E-45,5.32E-46,1.68E-45,3.87E-45,3.10E-45,0,0,62.4,60.7,62.7,61.1,0,80.4,18,70.9,8.5,0.5,0,0,0,0,23.27,1,29,101.9,84.8,56.1,0,1.3,0,0,0,100,100,57,30,30,63.43,69.21,64.18,68.22,2.01E-46,5.58E-46,3.01E-45
23.58,50,61.09,61.9,62.22,62.3,63.71,64.5,64.57,64,64.91,67.21,62.87,63.55,5.979,2.377,16,24.36,5.222,2.978,3.166,11.37,1.68E-45,18.36,3.22E-46,167.2,110.7,0.5,0.5,61.7,59.8,64.1,63.6,0,80.4,18.7,70.6,6.7,4,0,0,-2.662,-12.66,23.27,6,0,101.9,84.8,54.6,0,0,0,0,0,100,100,57,30,30,63.47,69.21,65.7,67.73,9.933,37.44,136.1
33.58,50,61.25,63.3,62.22,62,63.87,64.2,64.53,64.5,64.91,66.67,62.91,63.64,6.925,4.052,18.71,29.68,5.332,3.781,4.005,13.12,1.68E-45,18.75,3.15E-46,254.5,132.2,0,0,62.7,61.1,63.8,62.6,0,80.5,17.8,70.6,7,2,0,0,-5.601,-23,23.27,6,0,102.3,84.9,56.6,0,0.3,1.3,0,0,100,100,57,30,30,63.47,69.01,65.66,66.09,17.55,96.13,203
43.58,50,61.66,63.7,62.22,62.6,63.96,64,64.49,64,64.83,66.06,62.95,63.55,5.904,3.798,13.72,23.42,2.913,3.794,3.152,9.859,1.68E-45,10.24,5.77E-46,267.1,125.2,0,0.1,63.3,61.9,64.1,63.1,0,80.7,17.4,70.8,7,0.6,0,0,-10.51,-50.66,23.27,6,0,102.3,84.8,57.1,0,0,1.1,0,0,100,100,57,30,30,63.63,68.11,65.08,65.52,20.37,75.65,193.2
53.59,50,62.15,63.3,62.43,63.3,64.04,64,64.44,64.2,64.7,65.44,62.87,63.47,4.58,2.914,8.325,15.82,1.407,2.281,3.127,6.815,1.68E-45,4.947,1.20E-45,269.7,124.2,0.4,0,62.9,61.4,63.8,63.1,0,80.8,18.1,70.8,7,1.7,0,0,-11.16,-69.28,23.27,6,0,102.7,84.9,57.6,0,0.3,0,0,0,100,100,57,30,30,63.55,67.08,64.8,64.98,19.79,75.04,214.9
63.6,50,62.36,63.4,62.67,63.1,64.04,63.9,64.4,64,64.62,65.12,62.87,63.43,4.131,2.459,5.579,12.17,1.625,1.013,2.924,5.562,1.68E-45,5.713,1.04E-45,270.4,124.6,0.2,0,62.9,61.4,63.4,62.1,0,81,18.1,70.8,7.5,1.6,0,0,-8.813,-60.67,23.27,6,0,102.8,84.8,57.1,0,0.1,0.3,0,0,100,100,57,30,30,63.3,66.39,64.47,64.66,19.15,70.18,246.1
73.59,50,62.56,63.4,62.84,63.1,64.04,63.9,64.36,64,64.5,64.79,62.95,63.43,3.68,1.542,3.282,8.505,1.406,0.5851,2.488,4.479,1.68E-45,4.942,1.20E-45,271.2,124.1,0.1,0,63,61.5,63.8,62.6,0,81.2,18.2,70.9,7,0.6,0,0,-7.997,-61.8,23.27,6,0,103.1,84.8,57.1,0,0.1,0.3,0,0,100,100,57,31,30,63.02,65.65,64.35,64.45,14.06,59.72,257.2
83.6,50,62.77,63.6,62.92,63.1,64.04,63.9,64.28,63.9,64.42,64.5,63.07,63.55,2.755,1.542,0.9674,5.265,0.7942,0.8213,2.565,4.181,1.68E-45,2.792,1.68E-45,271.2,127.9,0,0,63.3,61.9,63.8,62.6,0,81.2,17.9,70.8,7,0.7,0,0,-6.17,-63.7,23.27,6,0,103.3,84.8,57.6,0,0,0.5,0,0,100,100,57,31,30,62.89,65.12,64.22,64.33,16.65,61.57,251.5
93.59,50,62.97,63.9,63.04,63.3,64.04,63.7,64.24,63.9,64.34,64.34,63.24,63.59,2.282,1.074,0.04291,3.398,0.3634,1.056,1.94,3.36,1.68E-45,1.278,1.68E-45,270,129.9,0.1,0,63.3,62,63.8,62.6,0,81.3,18,70.8,6.8,0.6,0,0,-4.506,-56.17,23.27,6,0,103.3,84.8,58.1,0,0,0.5,0,0,100,100,57,30,30,62.85,64.71,64.18,64.29,13.9,46.55,244.6
103.6,50,63.14,63.9,63.16,63.4,64,63.9,64.2,63.7,64.25,64.26,63.28,63.68,2.286,0.6152,0.04301,2.945,0.1411,0.61,2.152,2.903,1.68E-45,0.496,1.68E-45,270.6,129.3,0,0,63.6,62.4,63.4,62.1,0,81.2,17.7,70.8,7.4,0,0,0,-4.523,-56.26,23.27,6,0,103.7,84.8,58.1,0,0,0.3,0,0,100,100,57,30,30,62.89,64.38,64.18,64.25,9.936,51.65,255.9
113.6,50,63.3,63.7,63.33,63.7,64,63.9,64.16,63.9,64.21,64.13,63.36,63.72,1.819,0.6133,0.8785,1.554,0.1386,0.1654,1.893,2.197,1.68E-45,0.4873,1.68E-45,269.8,126.7,0.1,0,63.5,62.2,63.8,62.6,0,81.5,18,70.6,7,0.4,0,0,-2.88,-45.03,23.27,6,0,103.9,84.8,58.1,0,0,0.1,0,0,100,100,57,30,30,62.94,64.13,64.14,64.21,12.27,45.44,265.8
123.6,50,63.42,63.9,63.41,63.7,64,63.9,64.12,63.9,64.17,64.09,63.4,63.76,1.363,0.6142,0.88,1.097,0.07765,-0.05083,1.893,1.764,1.68E-45,0.273,1.68E-45,270.4,126.7,0.1,0,63.6,62.4,63.8,62.6,0,81.3,17.7,70.8,6.8,0.4,0,0,-1.276,-26.63,23.27,6,0,104.3,84.8,58.6,0,0,0.2,0,0,100,100,57,30,30,63.1,64.01,64.14,64.17,14.74,45.43,269.2
133.6,50,63.51,64,63.49,63.7,64,63.9,64.12,63.9,64.13,64.01,63.48,63.84,1.371,0.1535,1.349,0.1751,0.07849,-0.05116,1.905,1.776,1.68E-45,0.276,1.68E-45,271.9,127.5,0,0,63.7,62.5,63.8,62.6,0,81.5,17.8,70.8,7,0.2,0,0,-1.303,-27.04,23.27,6,0,104.3,84.9,58.1,0,0.2,0.4,0,0,100,100,57,30,30,63.55,63.93,64.14,64.17,3.685,45.73,270.7
143.6,50,63.55,64,63.61,63.7,64,64,64.08,63.9,64.13,64.01,63.56,63.88,0.9025,0.6149,1.343,0.1744,0.3549,-0.2668,1.679,1.767,1.68E-45,1.248,1.68E-45,270.7,126.9,0,0,63.7,62.5,63.8,62.6,0,81.5,17.8,70.8,7.2,0.1,0,0,0,0,23.27,6,0,104.5,84.8,58.1,0,0,0.3,0,0,100,100,57,30,30,63.88,63.93,64.14,64.12,14.76,40.29,264.3
153.6,50,63.63,64,63.7,63.9,64.04,63.9,64.12,64.2,64.13,64.01,63.65,63.96,0.9004,0.1525,1.34,-0.2867,0.3524,-0.2652,1.665,1.752,1.68E-45,1.239,1.68E-45,270,125.8,0,0,63.9,62.7,63.8,62.6,0,81.3,17.6,70.8,6.8,0.1,0,0,0,0,23.27,6,0,104.9,84.8,58.1,0,0.3,0.3,0,0,100,100,57,30,30,64,64.05,64.18,64.21,3.659,39.96,263.7
163.6,50,63.71,64,63.7,63.9,64.04,64,64.12,64,64.17,64.01,63.77,64,0.9007,0.6135,1.801,-0.2868,0.07698,0.3795,1.239,1.541,1.68E-45,0.2707,1.68E-45,270.2,126.1,0.2,0,63.7,62.5,63.4,62.1,0,81.5,17.6,70.8,7.2,0.1,0,0,0,0,23.27,6,0,104.9,84.8,58.6,0,0,0.3,0,0,100,100,57,30,30,63.88,64.09,64.22,64.21,14.72,29.73,261
173.6,50,63.79,64.2,63.78,63.9,64.08,64,64.16,64,64.13,64.05,63.81,64.04,0.9065,0.3098,0.8847,-0.288,0.07729,0.1646,1.238,1.326,1.68E-45,0.2718,1.68E-45,271.9,126.1,0,0,63.7,62.5,63.8,62.6,0,81.3,17.6,70.8,7,0,0,0,0,0,23.27,6,0,105.1,84.8,58.1,0,0,0.5,0,0,100,100,57,30,30,63.67,64.13,64.26,64.25,7.435,29.72,267.9
183.6,50,63.83,64.2,63.86,63.9,64.08,64,64.16,64,64.17,64.05,63.89,64.13,0.8988,0.1529,1.337,-0.2855,0.1378,0.1655,1.243,1.546,1.68E-45,0.4844,1.68E-45,269.6,126.6,0.2,0,63.9,62.5,63.8,62.6,0,81.5,17.8,70.6,7,0.1,0,0,0,0,23.27,6,0,105.3,84.8,58.6,0,0,0.3,0,0,100,100,57,30,30,63.43,64.05,64.31,64.29,3.669,29.83,265.6
193.6,50,63.92,64.2,63.86,64,64.12,64,64.16,64,64.17,64.09,63.93,64.13,0.4401,0.1533,0.8798,-0.2864,0.2938,0.3811,1.027,1.114,1.68E-45,1.033,1.68E-45,270.4,126.5,0.1,0,63.9,62.7,63.8,62.6,0,81.5,17.8,70.8,6.8,0,0,0,0,0,23.27,6,0,105.3,84.8,58.6,0,0,0.2,0,0,100,100,57,30,30,63.14,64.01,64.31,64.29,3.68,24.64,261.2
203.6,50,63.96,64.2,63.9,64,64.12,63.9,64.2,64.2,64.17,64.09,64.01,64.21,0.9024,0.3084,0.8808,-0.2867,0.2965,0.6028,1.036,1.342,1.68E-45,1.042,1.68E-45,270.7,127.7,0.2,0,63.7,62.5,64.1,63.1,0,81.5,17.6,70.6,6.5,0.1,0,0,0,0,23.27,6,0,105.7,84.9,58.6,0,0.2,0.3,0,0,100,100,57,30,30,62.94,63.89,64.39,64.29,7.401,24.86,256.2
213.9,50,64,64.4,63.98,63.9,64.12,64,64.24,64,64.17,64.09,64.05,64.21,1.362,0.7688,0.8791,-0.2862,0.07739,0.3787,0.8058,1.107,1.68E-45,0.2721,1.68E-45,270.2,125.7,0.1,0,63.9,62.8,63.8,62.6,0,81.3,17.4,70.6,6.8,0,0,0,-1.272,-26.56,23.27,6,0,105.9,84.8,58.1,0,0.1,0.4,0,0,100,100,57,30,30,62.73,63.81,64.43,64.33,17.14,19.34,261.1
223.6,50,64.04,64.4,64.02,64,64.12,64,64.2,64,64.21,64.09,64.1,64.25,0.9039,0.1538,1.345,-0.2872,0.07721,0.3808,0.8104,1.114,1.68E-45,0.2715,1.68E-45,271.1,126.5,0.1,0,63.9,62.7,63.8,62.6,0,81.5,17.6,70.6,6.8,0.4,0,0,0,0,23.27,6,0,106.1,84.8,58.1,0,0,0.4,0,0,100,100,57,30,30,62.4,63.73,64.43,64.37,2.791,19.45,262
233.6,50,64.08,64.4,64.06,64,64.12,63.9,64.2,64.2,64.17,64.09,64.18,64.29,0.9012,0.3079,0.8795,-0.2863,0.07739,0.5937,0.591,1.107,1.68E-45,0.2721,1.68E-45,270.3,125.7,0.3,0,63.9,62.7,63.8,62.6,0,81.3,17.6,70.6,6.5,0.4,0,0,0,0,23.27,6,0,106.3,84.8,59.1,0,0.3,0.2,0,0,100,100,57,31,30,62.12,63.6,64.47,64.37,4.974,14.18,256
243.6,50,64.12,64.4,64.06,64,64.12,64,64.2,64.2,64.17,64.09,64.18,64.29,0.8979,0.3068,0.8763,-0.2852,0.2987,0.6073,0.6046,0.9132,1.68E-45,1.05,1.68E-45,269.3,128.6,0.3,0,63.9,62.7,64.1,63.1,0,81.5,17.4,70.6,6.5,0,0,0,0,0,23.27,6,0,106.5,84.8,58.1,0,0.2,0.2,0,0,100,100,57,31,30,61.95,63.48,64.51,64.41,4.823,14.51,254.7
253.6,50,64.16,64.4,64.11,64,64.16,64,64.2,64,64.17,64.09,64.18,64.33,0.4387,0.3071,0.877,-0.7454,0.3094,0.4019,0.8547,0.9471,1.68E-45,1.088,1.68E-45,269.5,133.4,0.1,0.1,63.9,62.7,64.1,63.1,0,81.5,17.4,70.6,6.5,0,0,0,0,0,23.27,6,0,106.7,84.9,58.1,0,0.1,0.2,0,0,100,100,57,31,30,61.67,63.36,64.55,64.45,4.359,20.51,259.9
263.6,50,64.16,64.4,64.15,64,64.12,64,64.24,64.2,64.13,64.09,64.18,64.33,1.369,1.237,0.4204,-0.2878,0.08406,0.1791,0.8787,0.9737,1.68E-45,0.2956,1.68E-45,271.7,137.2,0.3,0,63.9,62.7,63.8,62.6,0,81.3,17.4,70.6,6.8,0,0,0,-1.299,-26.98,23.27,6,0,106.9,84.8,58.1,0,0.2,0.2,0,0,100,100,57,31,30,61.46,63.23,64.59,64.49,16.75,21.09,267.4
273.9,50,64.2,64.5,64.15,64.2,64.12,63.9,64.2,64.2,64.13,64.09,64.22,64.37,0.9058,0.7732,0.4204,-0.2878,0.3178,0.4133,0.8789,0.9743,1.68E-45,1.118,1.68E-45,271.7,137.2,0.3,0,63.9,62.7,63.8,62.6,0,81.3,17.4,70.4,6.6,0.1,0,0,0,0,23.27,6,0,106.9,84.8,58.1,0,0.3,0.3,0,0,100,100,57,31,30,61.3,63.11,64.59,64.49,10.23,21.09,261.8
