Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
3.582,50,69.69,69.8,70.45,70.3,70.63,70.4,71.36,71.2,71.13,73.06,70.16,70.47,1.19E-46,3.74E-47,3.11E-46,3.92E-46,9.85E-47,-3.82E-47,4.10E-47,1.01E-46,1.68E-45,3.46E-46,1.68E-45,3.87E-45,3.10E-45,0,0.7,71.9,74,71.9,74,0.1,84.2,12.3,74.6,2.7,0,0,0,0,0,23.27,1,29,114.9,91.4,69,0,0.8,0,0,0,100,100,57,56,0,67.03,70.97,70.61,71.25,2.28E-46,9.84E-46,3.39E-45
13.57,39,69.73,69.8,70.45,70.3,70.63,70.4,71.41,71.2,71.17,73.06,70.16,70.47,1.25E-46,3.74E-47,3.04E-46,3.92E-46,9.32E-47,-3.82E-47,4.10E-47,9.60E-47,1.68E-45,3.28E-46,1.68E-45,3.87E-45,3.10E-45,0,0.4,71.8,73.8,71.6,73.5,0.7,84.2,12.3,74.6,2.8,0,0,0,0,0,23.27,1,29,114.7,91.2,68.5,0,0.8,0,0,0,100,100,57,56,0,67.07,70.97,70.57,71.25,2.30E-46,9.84E-46,3.38E-45
23.58,39,69.73,70.1,70.45,70.3,70.67,71.1,71.32,71.1,71.17,73.06,70.2,70.51,6.961,1.601,20.11,25.47,4.617,-1.631,2.03,5.015,1.68E-45,16.23,3.64E-46,255.7,153.4,0,0.8,71.8,74,72.2,74.5,1.3,84.2,12.4,74.6,2.4,0.2,0,0,-8.242,-33.68,23.27,1,29,114.5,91.2,68.5,0,0,0,0,0,100,100,57,56,0,67.03,70.97,70.61,71.29,9.743,48.71,235
33.59,39,69.77,70.6,70.45,70.3,70.75,70.8,71.28,70.8,71.13,72.69,70.24,70.51,5.881,1.665,17.29,21.51,5.761,-1.812,2.339,6.288,1.68E-45,20.26,2.92E-46,266.1,202.9,0,0.8,72.1,74.3,71.6,73.5,1,84.3,12.2,74.4,3,0,0,0,-0.423,-2.046,23.27,6,0,113.8,91.2,69,0,0,0.5,0,0,100,100,57,56,0,67.03,70.97,70.61,71.25,10.13,56.14,238.2
43.59,39,69.85,70.4,70.45,70.3,70.75,70.8,71.28,70.8,71.09,72.2,70.24,70.51,5.891,2.122,12.32,16.09,5.35,-1.912,2.469,5.907,1.68E-45,18.81,3.14E-46,266.6,214.2,0,0.8,71.9,74,71.6,73.5,0.7,84.7,12.8,74.6,3,0,0,0,-1.903,-9.188,23.27,6,0,113.8,91,69,0,0,0.1,0,0,100,100,57,56,0,67.03,70.97,70.61,71.29,12.92,59.25,225.2
53.6,39,69.98,70.8,70.45,70.4,70.83,70.8,71.2,70.8,71.09,71.83,70.28,70.55,4.096,1.22,8.276,11.15,4.218,-1.535,2.449,5.133,1.68E-45,14.83,3.99E-46,268.1,212.4,0,0.8,71.9,74.1,71.9,74,0.8,84.9,13,74.4,2.5,0,0,0,0.4311,2.994,23.27,6,0,113.8,91.4,69,0,0,0.5,0,0,100,100,57,56,0,67.03,70.97,70.61,71.29,7.427,58.78,231.3
63.59,39,70.1,70.8,70.45,70.4,70.83,70.6,71.2,70.8,71.05,71.55,70.36,70.6,4.096,1.677,5.532,7.95,3.157,-0.8163,2.103,4.444,1.68E-45,11.1,5.33E-46,268.1,214.2,0,1.1,71.9,74.1,71.9,74,1,85.1,13.2,74.6,2.7,0,0,0,-3.299,-22.91,23.27,6,0,113.3,91,69,0,0.2,0.5,0,0,100,100,57,56,0,67.03,70.97,70.57,71.29,10.21,50.48,248.5
73.59,39,70.18,70.8,70.45,70.4,70.83,70.8,71.12,70.6,71.01,71.34,70.44,70.68,3.181,1.221,3.702,5.662,2.42,-0.08554,2.098,4.432,1.68E-45,8.507,6.95E-46,268.1,213.6,0,1.3,72.1,74.3,71.9,74,0.5,85.1,13.2,74.4,2.8,0,0,0,-2.678,-23.94,23.27,6,0,113.1,91.4,69,0,0,0.4,0,0,100,100,57,56,0,67.07,70.97,70.57,71.29,7.508,50.34,266.1
83.59,39,70.26,70.9,70.53,70.6,70.87,70.6,71.12,70.8,71.01,71.18,70.52,70.72,2.72,1.219,1.87,3.371,2.436,-0.0861,1.744,4.093,1.68E-45,8.564,6.90E-46,267.8,214.9,0,1.1,72.1,74.3,71.9,74,1,85.1,13,74.6,2.7,0,0,0,-0.9987,-10.44,23.27,6,0,112.9,91.4,69,0,0,0.5,0,0,100,100,57,56,0,67.07,70.97,70.57,71.25,7.498,41.85,265.7
93.59,39,70.38,71.1,70.57,70.6,70.87,70.8,71.08,70.9,70.97,71.1,70.61,70.8,2.266,1.221,1.415,2.461,1.698,0.28,1.74,3.717,1.68E-45,5.969,9.91E-46,268.1,214.4,0,0.7,72.1,74.3,71.6,73.5,0.8,85.1,13,74.6,3,0,0,0,-1.998,-25.08,23.27,6,0,112.7,91.2,69,0,0.1,0.5,0,0,100,100,57,56,0,67.03,70.97,70.57,71.25,7.43,41.75,261.4
