Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
3.596,50,65.51,65.6,66.81,66.8,67.84,67.8,68.91,68.9,69.37,70.52,66.43,66.87,1.71E-46,7.48E-47,1.85E-46,4.31E-46,1.67E-46,-4.88E-47,5.68E-47,1.75E-46,1.68E-45,5.88E-46,1.68E-45,3.87E-45,3.10E-45,0,0,66.8,66.7,67,67,0,82.5,15.6,72.8,6,0,0,0,0,0,23.27,1,29,110.3,87.5,62.6,0,1.1,0,0,0,100,100,57,56,0,65.6,70.65,67.38,70.59,3.56E-46,4.24E-46,2.85E-45
13.58,50,65.51,65.4,66.77,66.7,67.84,67.6,68.87,69,69.37,70.52,66.43,66.87,1.65E-46,8.14E-47,1.85E-46,4.31E-46,1.62E-46,-4.35E-47,5.68E-47,1.75E-46,1.68E-45,5.69E-46,1.68E-45,3.87E-45,3.10E-45,0,0,66.8,66.7,66.6,66.5,0,82.5,15.6,72.8,5.8,0.3,0,0,0,0,23.27,1,29,110.1,87.7,62.1,0,1.2,0,0,0,100,100,57,56,30,65.6,70.65,67.38,70.59,3.87E-46,4.24E-46,2.96E-45
23.58,50,65.51,66.2,66.81,66.8,67.93,68.7,68.87,68.1,69.37,70.48,66.43,66.87,10,5.373,11.8,27.18,8.253,-2.408,2.806,8.65,1.68E-45,29.02,2.04E-46,255.4,152.9,0.8,0,66,65.7,68.1,68,0,82.7,16.7,72.8,4.7,2.1,0,0,-6.148,-17.48,23.27,6,0,109.8,87.7,60.6,0,0,0,0,0,100,100,57,56,30,65.6,70.65,68.77,70.31,25.55,43.78,203.3
33.58,50,65.68,67.2,66.77,66.5,68.13,68.3,68.78,68.6,69.37,70.19,66.55,66.95,7.232,6.496,9.108,22.84,9.284,-1.824,3.399,10.86,1.68E-45,32.64,1.81E-46,265.7,204.3,0,0,67.4,67.5,68.1,68.5,0,82.8,15.3,73,4.7,0.2,0,0,7.214,28.37,23.27,6,0,109.6,87.7,63.6,0,0.3,0.5,0,0,100,100,57,56,30,65.56,70.52,68.48,69,31.39,81.59,221.9
43.58,50,65.96,67.2,66.77,66.8,68.17,68.1,68.78,68.1,69.25,69.7,66.63,67.03,6.843,5.186,5.076,17.1,7.16,-1.179,3.556,9.537,1.68E-45,25.17,2.35E-46,268.2,213.7,0.1,0,66.9,66.9,67.4,67.5,0,83.2,16.4,72.8,5.1,1.3,0,0,1.113,4.626,23.27,6,0,109.4,87.7,62.1,0,0,0.2,0,0,100,100,57,56,30,65.27,70.15,68.11,68.42,25.48,85.36,239.9
53.59,50,66.17,67.3,66.85,67,68.17,67.8,68.66,67.9,69.04,69.21,66.68,67.07,5.491,4.288,1.879,11.66,6.143,-1.563,3.6,8.179,1.68E-45,21.6,2.74E-46,269.3,216.3,0,0,67,67,67.7,68,0,83.3,16.2,72.8,5.1,0.8,0,0,2.289,11.86,23.27,6,0,109.4,87.7,63.1,0,0.3,0.5,0,0,100,100,57,56,30,64.37,69.62,67.91,68.1,19.59,86.41,231.8
63.59,50,66.41,67.5,66.93,67,68.17,67.8,68.58,67.9,68.84,68.93,66.84,67.24,4.553,2.895,0.9575,8.406,4.612,-0.815,3.559,7.356,1.68E-45,16.22,3.65E-46,268.1,213.9,0,0,67.5,67.7,67.4,67.5,0,83.5,16.1,72.8,5.4,0,0,0,0.2086,1.303,23.27,6,0,109,87.7,62.6,0,0.1,0.3,0,0,100,100,57,56,30,63.35,68.84,67.83,67.93,12.64,85.41,248.5
73.58,50,66.62,67.6,67.01,67.2,68.05,67.5,68.46,67.6,68.59,68.56,66.96,67.28,4.57,1.531,0.4172,5.684,3.529,-0.452,2.839,5.915,1.68E-45,12.41,4.77E-46,269.2,214.5,0,0.1,67.4,67.5,67.7,68,0,83.5,16.3,72.8,5.1,0,0,0,-3.662,-22.79,23.27,6,0,108.8,87.7,63.1,0,0.1,0.3,0,0,100,100,57,56,30,62.69,68.11,67.87,67.89,6.785,68.12,258.3
83.59,50,66.82,67.6,67.14,67.2,67.97,67.6,68.33,67.6,68.31,68.27,67.04,67.36,4.129,0.308,0.4183,3.402,2.803,-0.8196,2.846,4.829,1.68E-45,9.856,6.00E-46,270.3,215.1,0,0,67.4,67.5,67,67,0,83.5,16.3,72.8,5.8,0,0,0,-4.66,-32.1,23.27,6,0,108.6,87.7,63.1,0,0,0.3,0,0,100,100,57,56,30,61.99,67.29,67.79,67.85,1.396,68.3,250.6
93.59,50,66.99,67.6,67.22,67.5,67.84,67.2,68.21,67.5,68.1,68.07,67.13,67.44,4.122,1.228,0.4182,2.476,2.08,-0.8241,2.86,4.115,1.68E-45,7.312,8.09E-46,269.8,216.1,0,0,67.4,67.5,67,67,0,83.7,16.3,72.8,5.8,0,0,0,-7.18,-49.54,23.27,6,0,108.2,87.7,63.6,0,0.2,0.3,0,0,100,100,57,56,30,61.22,66.59,67.83,67.81,5.48,68.63,250
