Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
0,50,64.73,64.8,66.19,66.1,67.19,67,67.07,67,68.1,68.35,66.96,67.48,-2.01E-47,1.67E-46,4.02E-47,1.87E-46,1.88E-46,9.92E-47,6.74E-47,3.55E-46,1.68E-45,6.62E-46,1.68E-45,3.87E-45,3.10E-45,0,0,66.2,65.9,66.3,66,0,81.7,15.5,71.5,5.1,0.1,0,0,0,0,23.27,1,29,106.5,87.5,61.1,0,0,0,0,0,100,100,57,56,0,67.52,70.52,68.4,71.29,1.34E-45,5.60E-46,1.49E-45
2,50,66.66,67.3,66.93,67,67.15,67,67.15,67.2,67.32,67.16,66.96,67.28,-0.02017,1.891,1.706,0.165,2.431,0.2802,2.839,5.55,1.68E-45,8.546,6.92E-46,255.9,214.6,0.4,0,66.6,66.5,66.3,66,0,83,16.2,71.4,5.2,0,0,0,5.03,143.1,23.27,6,0,105.7,87.7,62.1,0,0.2,0.3,0,0,100,100,57,56,30,65.68,66.96,67.54,67.6,35.43,68.14,249.2
4,50,67.23,67.3,67.26,67.2,66.74,66.4,66.82,66.5,66.63,66.67,67.17,67.36,0.8523,2.036,0.4768,-0.707,0.2329,-0.8135,1.732,1.152,1.68E-45,0.8189,1.68E-45,255.6,213.5,0.6,0,66.4,66.2,66.3,66,0,82.3,15.9,71.7,5.2,0,0,0,0,0,23.27,6,0,108,87.7,61.1,0,0,0.3,0,0,100,100,57,56,30,60.27,64.01,67.5,67.48,13.07,41.58,236.1
6,50,66.95,67,66.89,66.7,66.25,65.9,66.37,65.9,66.06,66.18,66.88,66.99,1.301,3.376,1.362,-0.7137,0.4997,-0.08576,1.013,0.4271,1.68E-45,1.757,1.68E-45,258.1,215.5,0.7,0.4,66,65.6,66.3,66,0,80,14.2,72.2,5.9,0.6,0,0,-1.058,-23.13,23.27,15,0,110.1,87.5,135.5,68.8,0,0.3,0,0,100,100,57,56,30,59.09,62.95,67.17,67.15,20.99,24.3,256
8,49,66.17,65.8,64.02,62.3,67.23,67.9,69.56,71.5,68.31,67.37,65.9,66.01,24.82,13.36,9.983,1.472,19.23,16.81,1.013,-1.409,35.41,1.909,1.841,255.4,215.3,4,0,58.3,55.3,70.9,72.5,0,64.5,6.4,104.9,33.9,17.7,40,39,15.77,18.08,11.04,20,0,108.8,88.5,159.8,103.4,3.6,3.5,60,30,100,59.49,50.93,56,20,58.84,63.97,66.19,66.17,62.52,24.31,-148
10,49,64.82,64,59.97,59.1,70.71,71.8,74.8,77,73.51,69.46,64.34,64.7,44.24,14.02,43.78,-13.55,43.72,39.44,3.235,-1.049,42.87,3.586,0.9805,259.4,216.5,8.6,2.2,50.3,45.8,79.2,85.4,7.7,59.1,8.8,123.7,44.5,39.1,49,47,41.06,26.39,9.926,20,0,108,91,153.8,108.4,4.8,5.1,60,30,100,56.44,50.53,56,20,58.68,68.19,67.25,65.93,35.37,58.46,25.7
12,49,63.3,62.5,56.57,55.6,74.4,75.7,80.04,82.3,78.75,71.75,62.66,63.18,60.7,13.93,75.2,-28.43,60.57,54.82,4.7,-1.046,53.2,4.003,0.8783,257.9,216,6.5,3.4,49.1,44.5,85.7,96.8,8.2,55,6.1,121.7,36.3,52,59,57,52.73,24.71,8.75,20,0,108.2,93.7,156.8,111.2,6.6,6.9,60,30,100,53.39,50.12,56,20,58.72,72.12,66.07,64.66,24.95,80.01,69.88
14,49,61.87,61.4,54.07,53.3,77.79,78.9,84.75,86.5,83.33,73.47,61.31,61.83,74.48,15.19,105.6,-46.29,69.76,64.77,4.674,-0.3067,62.44,3.928,0.8951,256.9,214.8,7.4,5,45.9,41.2,91.5,107.2,8.7,52,6.1,120.4,28.9,67.1,73,70,45.83,17.5,7.424,20,0,108.4,96.4,160.8,118.6,7.6,8.1,60,30,100,50.34,49.71,56,20,58.68,75.52,64.8,63.39,21.65,79.57,99.26
16,49,60.84,60.6,52.44,52,80.87,81.7,88.48,89.9,87.02,74.74,60.41,60.93,81.01,15.54,130.7,-65.18,75.79,71.88,4.708,0.798,68.04,3.916,0.8978,255.4,216.3,7.4,5.7,44.6,39.8,95.5,115.2,8.7,50.1,5.5,121.2,26,75.2,79,76,49.68,17.44,6.86,20,0,109.2,98.8,158.3,117.4,8.1,8.6,60,30,100,47.29,49.31,56,20,58.68,78.3,63.81,62.45,19,82.55,114.9
18,49,60.89,61.4,52.31,52.4,82.83,83.3,90.81,91.9,89.35,75.84,60.41,61.22,84.71,15.5,143.3,-74.14,76.23,72.01,7.194,2.972,70.96,3.777,0.9308,254.7,213.4,8.6,5.8,43.8,39,97.7,119.6,8.7,49.6,5.6,124,26.3,80.6,82,79,41.15,13.82,6.586,20,0,110.3,100.9,162.3,122.5,8.6,9,35,0,100,46,49,56,22,58.6,80.14,65.25,63.55,17.26,101.8,126.7
20,49,61.21,61.4,52.56,52.5,83.98,84.2,92.25,92.8,90.58,76.75,60.94,61.34,87.74,17.67,146.8,-76.73,77.77,75.35,3.59,1.164,72.99,3.746,0.9385,254.7,215.7,9.2,6.2,43.3,38.5,99,122.1,8.5,49.5,6.2,126,27.1,84.1,85,81,37.95,12.3,6.406,20,0,111.1,102.7,160.3,120.5,8.8,8.9,35,0,100,46,49,56,22,58.55,80.76,62.79,62.2,19.1,86.16,124
22,49,61.38,61.4,52.64,52.5,84.63,84.8,93.07,93.5,91.28,77.2,61.23,61.51,89.26,18.93,149.1,-78.72,78.44,77.12,2.484,1.163,75.24,3.665,0.9592,254,215.5,9.2,6.5,43.3,38.5,100,124.1,8.1,49.1,5.8,127.4,27.7,86.3,88,84,37.19,11.85,6.14,20,0,112.2,104.3,160.8,120.5,8.8,9.1,35,0,100,46,49,56,24,58.55,80.8,62.83,62.24,20.42,59.63,122.6
24,49,61.42,61.6,52.64,52.4,84.92,84.8,93.56,93.9,91.6,77.4,61.23,61.55,91.67,20.71,150.7,-79.79,78.66,76.98,2.847,1.161,76.18,3.63,0.9685,254.7,215.1,9.3,6.3,43.1,38.2,100.2,124.6,8.3,49,5.9,128.5,28.3,86.4,90,86,30.47,9.453,5.964,20,0,112.9,105.7,159.3,120.5,9.1,9.1,35,0,100,46,49,56,24,58.47,80.43,62.83,62.24,22.64,68.33,124.6
26,49,61.38,61.4,52.44,52.5,85.04,84.8,93.84,93.9,91.81,77.48,61.19,61.47,93.59,21.63,152.4,-80.39,80.24,78.56,2.483,0.7946,77.16,3.656,0.9616,255.2,215.4,9.7,6.3,42.8,37.9,100.4,125.1,8.1,48.8,6.2,128.5,28.1,87.4,91,87,30.22,9.183,5.877,20,0,114,106.5,161.3,122.6,9.1,8.9,35,0,100,46,49,56,24,58.43,80.1,62.79,62.2,23.95,59.59,123.6
28,49,61.25,61.4,52.19,52,85.12,84.9,94.05,94.3,91.93,77.48,61.07,61.38,94.13,22.31,152.4,-80.6,81.68,79.99,2.863,1.167,79.46,3.615,0.9727,253.1,216.3,8.7,7,43.3,38.5,101.1,127.1,8.5,48.7,5.4,129,27.6,88.9,94,90,35.7,10.79,5.618,20,0,114.5,107.5,161.3,122.3,9.4,9.4,35,0,100,46,49,56,27,58.43,80.1,62.71,62.08,24.71,68.7,120.3
30,49,61.05,61.1,51.99,51.7,85.16,84.9,94.21,94.3,92.01,77.48,60.86,61.22,95.86,23.28,154,-81.4,81.61,79.92,3.227,1.534,79.67,3.602,0.9761,254.3,216.1,8.9,6.8,42.8,37.9,101.1,126.6,8.3,48.3,5.5,129,27.9,88.2,94,90,29.57,8.773,5.618,20,0,114.9,108.4,159.3,120.9,9.5,9.4,50,0,100,46,49,56,27,58.43,79.69,62.67,61.91,26.28,77.46,122.3
32,49,60.97,61.1,51.82,51.7,85.21,85.1,94.33,94.6,92.1,77.48,60.78,61.1,96.89,23.76,155.1,-81.97,81.73,80.05,2.838,1.157,80.46,3.572,0.9844,254.7,214.5,8.9,7.2,42.8,37.9,101.8,128,8.5,48.3,5.5,129,27.7,89.2,95,91,27.16,7.971,5.533,20,0,115.3,109,158.8,120.4,9.7,9.4,50,0,100,46,49,56,27,58.43,79.86,62.67,61.87,26.61,68.12,123.3
34,49,60.89,61.1,51.78,51.6,85.25,84.9,94.46,94.4,92.18,77.48,60.7,61.06,97.16,24.04,155,-81.9,81.5,79.81,3.209,1.525,81.83,3.502,1.004,253.2,214.8,9,7.4,42.6,37.7,101.8,128,9,48.2,5.6,129.3,27.8,90.3,97,93,26.76,7.833,5.363,20,0,116,109.6,161.8,123.4,9.3,9.4,50,0,100,46,49,56,27,58.43,79.78,62.67,61.87,27.03,77.01,122.8
36,49,60.84,60.9,51.7,51.6,85.33,84.9,94.54,94.8,92.3,77.48,60.66,61.06,97.55,23.71,156.9,-83.1,81.81,80.13,3.573,1.89,81.7,3.521,0.9986,254.2,214.7,9,7.9,42.6,37.7,102.7,130,9.9,48,5.4,129.8,27.1,91.8,97,93,26.33,7.677,5.363,20,0,116.2,110.1,157.8,119.3,9.7,9.3,50,0,100,46,49,56,27,58.43,79.9,62.67,61.87,26.5,85.75,124.4
38,49,60.93,61.1,51.78,51.6,85.33,85.3,94.58,94.8,92.3,77.48,60.74,61.1,97.86,24.11,156.7,-82.99,82.46,80.76,3.233,1.536,81.51,3.557,0.9885,253.9,216.4,9,8.7,42.6,37.7,103.3,131.5,10.3,48.2,5.6,130.1,26.3,93.6,97,93,27.34,7.947,5.363,20,0,116.4,110.3,162.3,123.5,9.7,9.5,50,0,100,46,49,56,27,58.39,79.86,62.67,61.87,26.95,77.58,123.1
40,49,60.93,61.1,51.78,51.7,85.33,85.3,94.58,94.4,92.26,77.52,60.74,61.06,97.75,24.51,155.7,-82.47,81.68,80,2.836,1.156,81.49,3.524,0.9977,253.6,214.3,9.1,8.7,42.6,37.7,103.1,131.5,10.3,48,5.6,129.8,26.7,93.8,97,93,24.98,7.27,5.363,20,0,116.9,110.7,161.3,122.8,9.3,9.4,50,0,100,46,49,56,27,58.39,79.82,62.71,61.91,27.46,68.07,123.3
42,49,60.97,60.9,51.82,51.7,85.33,85.3,94.62,94.4,92.26,77.52,60.74,61.1,98.08,24.92,155.5,-82.38,81.72,79.67,3.204,1.156,81.43,3.528,0.9965,253.3,214.4,9.1,8.7,42.6,37.7,103.1,131,10.1,48.2,5.4,129.8,27,92.8,96,92,23.89,6.927,5.448,20,0,117.1,110.9,159.8,121.4,9.1,9.2,50,0,100,46,49,56,27,58.35,79.78,62.75,61.91,27.92,76.89,123.6
44,49,60.97,61.1,51.78,51.7,85.33,85.3,94.62,94.8,92.3,77.52,60.74,61.1,98.05,24.48,155.9,-82.36,82.39,80.33,3.216,1.161,81.51,3.554,0.9893,253.2,215.2,8.9,8.3,42.8,37.9,103.1,131,10.1,48,5.4,129.8,26.7,93.1,97,93,26.44,7.67,5.363,20,0,117.1,111.3,159.8,121.3,9.5,9.4,50,0,100,46,49,56,27,58.31,79.82,62.75,61.95,27.32,77.17,122.8
46,49,60.97,61.1,51.86,51.7,85.37,85.1,94.66,94.4,92.3,77.56,60.78,61.14,98.83,25.11,156.7,-83.01,81.49,79.81,3.209,1.525,81.5,3.516,1,255.3,214.8,9.1,8.9,42.6,37.7,103.3,131.5,10.1,48.2,5.4,129.8,26.5,93.8,97,93,20.53,5.909,5.363,20,0,117.4,111.3,162.3,124.1,9.1,9.4,50,0,100,46,49,56,27,58.35,79.82,62.79,61.95,28.08,77.02,125.3
48,49,61.01,61.1,51.86,51.7,85.49,86.6,94.66,95.5,92.34,77.52,60.82,61.1,97.39,24.64,157.4,-84.64,82.19,80.5,2.485,0.7956,77.73,3.718,0.9457,254.9,215.7,9,8.5,42.9,38,104,133,10.8,48.2,5.3,129.8,25.8,94,89,85,24.26,7.085,6.052,20,0,117.6,111.8,159.3,120.5,8.5,9.2,25.17,0,100,25,49,56,42,58.31,79.78,62.71,62,27.55,59.65,124.5
50,49,58.72,58,51.86,51.6,86.93,86,93.88,93,91.24,71.1,58.36,58.56,74.18,28.23,214.7,-168.7,61.36,58.21,1.744,-1.406,63.84,3.379,1.04,255.8,214.9,8.8,6.2,42.8,37.9,99,122.1,6.7,49,6.2,133.5,34.5,84.9,73,70,18.76,7.192,7.424,20,0,117.8,111.8,158.3,119.5,7,6.4,26.17,0,100,25,49,56,29,58.31,75.93,58.9,58.92,38.45,41.86,186.5
52,49,56.87,56.3,50.18,49.8,86.23,85.8,93.02,92.8,90.62,69.62,56.64,56.8,72.46,25.62,224,-177.1,59.9,57.85,1.378,-0.6737,63.74,3.304,1.064,255.9,214.9,7.4,6.4,42.4,37.5,99,122.1,7.8,47.8,5.5,132.3,33.3,84.7,73,70,19.58,7.684,7.424,20,0,118.1,112,159.8,121.4,6.8,6.5,37.18,0,100,25,49,56,25,58.27,77.52,57.51,57.29,31.93,33.06,189.8
54,49,55.69,55.5,49.16,49,86.02,85.8,92.82,92.8,90.58,68.97,55.42,55.73,72.82,23.99,231.6,-182.8,58.24,55.83,2.835,0.4252,63.63,3.218,1.093,257.2,214.2,6.9,6.2,42.1,37.2,99,122.1,7.7,47.2,5.1,131.7,33,84.4,73,70,12.37,4.83,7.424,20,0,118.1,112.2,160.8,122.4,7.2,6.5,43.18,0,100,25,49,56,25,58.31,78.71,57.02,56.47,28.22,68.05,195.2
56,49,55.11,55.2,48.87,49,85.74,85.3,92.33,91.7,90.34,68.68,54.92,55.32,70.84,21.42,232.8,-183.4,55.68,54,3.565,1.886,61.33,3.192,1.101,258,214.2,7.4,5.8,41.6,36.7,97.5,119.1,7,47,4.9,131.2,34,82,71,68,8.036,3.226,7.617,20,0,118.1,112.2,158.3,120.1,6.6,6.2,44.19,0,100,25,49,56,22,58.31,78.88,56.61,56.06,24.99,85.56,198.1
58,49,55.15,55.3,49,49,85.49,85.3,91.92,91.7,90.05,68.6,55.01,55.41,68.44,19.91,228.5,-179.9,55.15,53.83,3.577,2.259,61.34,3.161,1.112,255.6,215,7,6,42,37.1,97.7,119.6,7.6,47,5,131.7,34,81.4,71,68,14.6,6.065,7.617,20,0,118.1,112.2,157.3,119.6,6.3,6.3,45.2,0,100,25,49,56,22,58.35,79.61,56.81,56.14,22.48,85.86,195.4
60,49,55.19,55.2,49.04,49,85.53,85.3,91.92,91.9,90.09,68.6,55.01,55.36,68,19.48,228.9,-180.3,55.25,53.56,3.218,1.53,61.3,3.169,1.109,255.6,215.4,7,5.8,41.8,36.9,97.5,119.1,7.6,47,5,131.7,34,82,71,68,16.48,6.894,7.617,20,0,118.1,112.4,158.8,120.3,6.6,6.4,46.2,0,100,25,49,56,22,58.31,79.82,56.81,56.18,21.73,77.23,195.8
62,49,55.19,55.5,49.04,49,85.49,85.3,91.92,91.7,90.01,68.6,55.05,55.41,68.64,20.41,228.7,-180.4,55.18,53.86,3.212,1.894,61.21,3.169,1.109,256.3,215.1,7,5.8,42,37.1,97.5,119.1,7.6,46.8,4.8,131.5,34.2,82.7,71,68,13.88,5.752,7.617,20,0,118.3,112.4,158.8,121.1,6.4,6.5,47.21,0,100,25,49,56,22,58.35,79.65,56.94,56.26,22.99,77.1,196
64,49,55.19,55.3,49.04,49,85.53,85.4,91.92,91.9,90.09,68.6,55.05,55.41,68.17,19.52,229.4,-180.8,55.28,53.96,3.219,1.897,61.35,3.169,1.11,256.2,215.5,6.9,5.6,42.1,37.2,97.5,119.1,7.6,47,5,131.2,34.2,82,71,68,16.06,6.699,7.617,20,0,118.1,112.4,156.8,118.9,6.5,6.4,48.21,0,100,25,49,56,25,58.39,79.94,56.94,56.26,21.74,77.24,195.9
66,49,55.23,55.3,49.08,49.1,85.49,85.3,91.88,91.7,90.05,68.64,55.05,55.45,68.29,19.56,229,-180.3,55.5,53.81,3.601,1.906,61.35,3.181,1.105,256.7,216.4,7,6,42,37.1,97.7,119.6,7.6,47,4.9,131.2,33.8,82.2,71,68,16.37,6.817,7.617,20,0,118.3,112.2,160.8,122.4,6.3,6.4,49.22,0,100,25,49,56,22,58.35,79.69,57.1,56.34,21.99,86.42,196.4
68,49,55.23,55.5,49.08,49.1,85.53,85.1,91.92,91.7,90.09,68.64,55.09,55.49,67.8,19.42,227.8,-179.4,55.29,53.97,3.588,2.266,61.52,3.16,1.113,254.8,215.5,7.1,5.6,42,37.1,97.7,119.6,7.6,47,5.4,131.7,34,82,70,67,17.51,7.345,7.715,20,0,118.3,112.4,160.8,122.6,6.6,6.4,50.22,0,100,25,49,56,22,58.35,79.86,57.14,56.34,21.67,86.1,194.5
70,49,55.28,55.3,49.12,49,85.53,85.3,91.92,91.7,90.09,68.64,55.09,55.49,68.44,19.6,229.9,-181.1,54.87,53.2,3.561,1.884,61.49,3.138,1.121,257.2,213.9,7,6,42,37.1,97.7,119.6,7.6,47,4.9,131.7,33.8,82.5,70,67,13.78,5.724,7.715,20,0,118.5,112.7,164.7,127,6.4,6.3,51.23,0,100,25,49,56,22,58.35,79.9,57.18,56.39,21.83,85.46,197.7
72,49,55.36,55.5,49.2,49.1,85.49,85.1,91.84,91.9,90.01,68.64,55.17,55.61,68.05,19.62,229.2,-180.8,55.25,53.56,3.952,2.264,61.14,3.177,1.107,257.4,215.4,7.5,5.8,41.8,36.9,97.7,119.6,7.4,47,5.2,132,34.3,82,71,68,16.13,6.742,7.617,20,0,118.5,112.4,163.8,125.9,6.6,6.2,52.23,0,100,25,49,56,22,58.35,79.9,57.26,56.47,21.85,94.85,197.3
74,49,55.48,55.6,49.28,49.3,85.53,85.4,91.88,91.7,90.01,68.76,55.25,55.69,67.64,19.93,226.5,-178.8,55.56,53.51,3.949,1.895,61.25,3.19,1.102,255.9,215.2,7.3,6,42,37.1,97.5,119.1,7.7,47.2,5,132,34.2,82.4,71,68,18.81,7.91,7.617,20,0,118.5,112.4,163.8,125.9,6.4,6.3,53.24,0,100,25,49,56,25,58.35,79.9,57.43,56.63,22.2,94.77,195.4
76,49,55.56,55.6,49.36,49.3,85.45,85.3,91.84,91.7,89.97,68.72,55.29,55.73,68.04,19.92,226.4,-178.3,55.53,53.12,3.947,1.527,61.2,3.191,1.102,255.7,215.1,7.3,5.8,42,37.1,97.5,119.1,7.8,47.3,5.2,132,34,81.9,71,68,17.22,7.197,7.617,20,0,118.3,112.4,162.3,124.3,6.4,6.3,54.25,0,100,25,49,56,22,58.35,79.61,57.67,56.8,22.49,94.72,195.7
