TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
50.0,62.28,62.3,63.2,63.1,64.28,64.2,65.14,65.0,66.18,67.78,64.75,65.76,1.38e-46,1.67e-46,2.58e-46,5.629999999999999e-46,1.1999999999999999e-46,2e-46,1.31e-46,4.499999999999999e-46,1.6800000000000002e-45,4.21e-46,1.6800000000000002e-45,3.869999999999999e-45,3.0999999999999995e-45,0.3,0.0,63.0,61.5,63.1,61.6,0.0,80.8,17.8,71.1,8.0,0.0,0.0,0.0,0.0,0.0,23.27,1.0,29.0,103.7,85.3,57.1,0.0,1.0,0.0,0.0,0.0,100.0,100.0,57.0,56.0,0.0,65.23,70.15,67.01,71.33,8.15e-46,7.26e-46,8.76e-46
50.0,64.73,65.3,64.76,65.0,64.94,65.0,65.02,64.8,65.11,65.08,64.83,65.15,0.8935,1.0659999999999998,0.414,1.545,0.2335,0.6448,2.832,3.7110000000000003,1.6800000000000002e-45,0.8211,1.6800000000000002e-45,268.0,214.1,0.3,0.0,64.7,63.8,64.9,64.1,0.0,82.0,17.1,71.1,6.2,0.0,0.0,0.0,0.0,0.0,23.27,6.0,0.0,102.7,85.3,59.6,0.0,0.0,0.3,0.0,0.0,100.0,100.0,57.0,56.0,30.0,64.49,65.08,65.58,65.6,25.58,67.98,252.5
50.0,65.35,65.6,65.42,65.3,65.27,65.1,65.35,65.3,65.28,65.24,65.41,65.6,0.899,0.7674,0.4166,-0.2849,0.5985,-0.0846,1.735,2.249,1.6800000000000002e-45,2.104,1.6800000000000002e-45,269.6,213.9,0.3,0.1,65.0,64.3,65.2,64.6,0.0,82.2,17.2,71.1,5.7,0.3,0.0,0.0,0.0,0.0,23.27,6.0,0.0,104.7,85.6,59.6,0.0,0.0,0.3,0.0,0.0,100.0,100.0,57.0,56.0,30.0,61.99,64.5,65.78,65.72,7.3389999999999995,41.64,267.6
50.0,65.39,65.3,65.42,65.3,64.9,64.5,64.98,64.7,64.74,64.83,65.41,65.52,0.8995,2.609,0.963,-0.7462,0.2359,-0.08552,1.016,1.167,1.6800000000000002e-45,0.8295,1.6800000000000002e-45,269.8,216.3,0.4,0.0,64.7,63.8,64.1,63.1,0.0,80.7,16.2,71.2,6.7,0.0,0.0,0.0,0.0,0.0,23.27,17.0,0.0,107.1,85.4,127.0,62.2,0.2,0.2,0.0,0.0,100.0,100.0,57.0,56.0,30.0,58.23,62.33,65.66,65.64,15.25,24.39,267.7
49.0,64.45,64.0,62.06,60.8,66.08,67.2,68.62,70.0,67.41,66.18,64.3,64.37,28.4,13.6,13.71,1.091,21.55,20.22,0.6484,-0.6789,33.81,2.241,1.569,268.7,216.4,5.4,0.0,55.4,51.9,68.8,69.5,0.0,62.5,7.2,102.3,34.4,17.8,39.0,38.0,9.728,9.743,11.2,20.0,0.0,106.5,86.5,136.5,83.5,2.8,3.2,60.0,90.0,100.0,59.49,50.93,56.0,20.0,57.29,63.28,64.72,64.66,54.49,15.56,-127.6
49.0,63.63,63.4,57.64,56.5,70.22,72.0,75.01,78.1,73.55,69.01,62.62,63.64,53.85,16.42,51.06,-13.64,53.91,44.85,9.118,0.059570000000000005,47.53,3.987,0.8818,269.9,215.9,6.9,1.1,49.4,44.8,79.2,85.4,7.2,56.3,6.9,116.9,37.7,41.1,54.0,52.0,47.73,25.21,9.315,20.0,0.0,105.7,88.5,139.4,93.3,5.9,7.1,60.0,90.0,100.0,56.44,50.53,56.0,20.0,56.96,68.15,72.99,67.69,35.22,41.29,32.86
49.0,62.77,62.6,54.44,28.0,75.75,77.6,82.58,85.4,81.12,72.86,61.43,62.86,76.86,16.42,92.96,-32.51,74.86,62.86,12.79,0.7959,63.95,4.1160000000000005,0.8543,269.9,215.8,6.2,3.5,47.2,42.5,88.9,102.3,8.4,52.4,5.3,115.1,26.4,60.6,76.0,73.0,56.9,21.06,7.138999999999999,20.0,0.0,105.9,91.2,139.9,96.7,7.8,9.3,90.0,90.0,100.0,53.39,50.12,56.0,20.0,56.88,74.04,72.25,67.4,22.96,63.32,87.37
49.0,62.36,62.6,52.72,52.5,80.78,82.2,88.81,90.8,87.35,76.09,61.02,62.53,89.54,16.3,125.6,-52.38,86.53,74.55,13.51,1.53,72.7,4.185,0.8401,267.8,215.5,7.3,3.5,45.1,40.4,94.3,112.7,8.3,50.3,5.1,116.9,22.6,72.3,87.0,83.0,62.12,19.73,6.228,20.0,0.0,106.7,93.9,141.9,100.6,8.6,10.1,60.0,90.0,100.0,50.34,49.71,56.0,20.0,56.88,79.24,72.17,67.15,17.49,64.7,108.9
49.0,63.06,63.9,53.3,53.6,84.39,85.1,92.7,94.3,91.15,78.1,61.84,63.35,91.8,17.04,144.2,-69.48,87.71,76.82,13.52,2.635,75.96,4.06,0.866,265.1,215.7,8.8,3.2,44.8,40.0,97.7,119.1,8.7,50.3,5.9,120.9,23.0,79.5,91.0,87.0,61.58,19.08,5.877000000000001,20.0,0.0,107.7,96.6,141.4,100.9,9.0,10.3,60.0,90.0,100.0,47.29,49.31,56.0,23.0,56.83,82.56,72.9,67.85,15.89,64.23,123.9
49.0,64.16,64.5,54.2,54.2,85.9,85.8,94.58,95.0,92.22,78.59,62.74,64.33,96.29,26.2,151.2,-81.14,89.98,77.19,14.33,1.5390000000000001,78.51,4.03,0.8725,266.3,216.7,10.1,3.7,44.3,39.5,98.7,121.6,8.2,50.6,6.3,124.0,25.3,82.8,94.0,90.0,56.33,16.64,5.617999999999999,20.0,0.0,108.8,98.9,141.9,102.4,9.0,10.1,60.0,0.0,100.0,46.0,49.0,56.0,37.0,56.59,79.94,75.12,69.41,26.93,60.24,130.4
