Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
0,50,63.67,63.7,64.64,64.5,65.55,65.4,66.45,66.4,69,71.38,67.41,68.06,1.45E-46,4.11E-46,3.83E-46,9.40E-46,1.25E-46,3.58E-46,8.32E-47,5.66E-46,1.68E-45,4.39E-46,1.68E-45,3.87E-45,3.10E-45,0,0,64.5,63.6,64.1,63.1,0,82.3,17.6,72.2,8.1,0,0,0,0,0,23.27,1,29,109.4,87.3,59.1,0,1,0,0,0,100,100,45,56,0,67.6,71.75,69.14,72.19,2.38E-45,6.54E-46,2.55E-46
2,50,66.54,67,66.52,66.7,66.7,66.2,66.86,66.7,66.87,66.92,66.76,66.99,1.081,0.09086,0.2985,1.47,0.1316,2.121,2.118,4.108,1.68E-45,0.4629,1.68E-45,160.2,215.7,0.2,0,66.4,66.1,66.3,66,0,83.3,17,72.2,5.7,0,0,0,-0.2833,-7.456,23.27,6,0,107.3,87.5,61.6,0,0.5,0.5,0,0,100,100,45,56,30,62.57,66.22,67.38,67.44,0.5965,50.83,109.3
4,50,66.58,66.7,66.56,66.4,66.08,65.6,66.29,65.8,65.65,65.9,66.59,66.71,1.351,4.273,1.662,-1.26,0.133,0.2822,1.016,1.165,1.68E-45,0.4675,1.68E-45,159.9,216.1,0.6,0,65.8,65.3,65.2,65.1,0,79.1,13.3,72.7,7.5,0,0,0,-1.234,-25.99,23.27,6,0,105.5,87.3,60.6,0,0.1,0.3,0,0,100,100,45,56,30,59.21,63.07,66.89,66.91,26.56,24.38,153.1
6,50,66.17,66.2,66.23,65.9,65.43,65,65.63,65.3,65.03,65.28,66.06,66.21,1.371,4.058,1.686,-1.002,0.6039,-1.557,1.382,0.4281,1.68E-45,2.123,1.68E-45,162.2,215.7,1.1,0,65,64.3,64.9,64.1,0,77.8,12.7,73.5,8.3,0,0,0,-1.303,-27.04,23.27,15,0,106.7,87.5,123.1,57.8,0.2,0.1,0,0,100,100,45,56,30,58.76,62.5,66.39,66.38,26.06,33.16,124.8
8,49,64.94,64.2,62.79,61.7,66.13,66.8,70.01,71.4,67.86,66.18,64.75,64.82,26.02,14.43,11.21,0.378,19.3,17.61,0.6474,-1.047,36.28,1.871,1.88,160.6,216.1,5.3,2.1,56.4,53,73.5,76.5,1.4,64,7.8,104.9,32.4,23.8,46,44,12.68,13.87,10.32,20,0,106.5,88.2,134,79.5,4.9,2.5,60,90,100,59.49,42.97,56,20,58.64,63.97,65.12,65.15,64.92,15.54,-91.73
10,49,63.79,63.6,58.54,57.2,69.89,71.5,77.3,80.5,74.65,68.19,62.58,63.84,49.72,17.77,43.38,-11.44,47.27,36.37,11.33,0.4279,49.29,3.372,1.043,161,215.9,6.7,3.3,50.4,45.9,83.8,93.3,12,57.9,7.5,121.2,37.4,48,60,58,40.7,23.28,8.641,20,0,106.1,90.5,133.5,87.1,9,6.4,60,90,100,56.44,42.76,56,20,58.6,69.46,75.07,68.75,39.26,42.99,26.02
12,49,62.77,62.5,55.26,54.5,75.54,77.3,86.1,89,83.17,71.63,61.19,62.86,71.35,19.82,77.98,-26.45,67.38,53.19,14.98,0.7945,61.09,3.878,0.9067,162.1,215.4,7.1,3.5,47.6,42.9,92.5,109.2,12.2,53.8,6.4,120.9,28.2,67,73,70,47.1,18.77,7.424,20,0,106.7,93.2,136,92,11.5,8,60,90,100,53.39,42.56,56,20,58.6,76.13,74.21,68.34,27.13,61.2,51.54
14,49,62.4,62.6,54.03,53.9,80.25,81.5,92.45,94.6,89.68,74.49,60.94,62.57,81.56,18.52,101.5,-38.49,75.66,62.48,14.72,1.541,68.95,3.858,0.9113,160.4,217,7.6,3.6,46.4,41.6,98.2,120.6,12.6,52,5.7,123.7,25.5,78.5,82,79,48.21,16.81,6.586,20,0,107.7,96.1,137.5,94.8,13.1,8.7,60,90,100,50.34,42.36,56,20,58.6,81.62,73.56,67.81,19.31,61.43,61.71
16,49,63.1,63.6,54.44,54.5,83.94,84.9,96.67,98.4,93.77,76.42,61.64,63.35,84.32,19.16,115,-49.79,77.82,64.71,15.37,2.269,73.77,3.709,0.9479,158.9,215.8,8.6,3.4,46.1,41.4,102,128,12.6,52,5.9,127.9,25.9,86.6,88,84,50.9,17.17,6.14,20,0,109,98.6,139.9,97.4,13.5,8.9,60,90,100,47.29,42.15,56,23,58.64,85.14,74.13,68.46,17.35,65.1,69.47
18,49,64,64.2,55.3,55.5,85.86,86,99.17,99.8,95.17,76.99,62.58,64.17,87.62,26.33,119.7,-58.41,77.92,65.23,14.22,1.527,75.91,3.609,0.9742,158,215.1,9.2,3.5,46.1,41.4,103.3,131.5,12.4,52.5,6.7,131.7,28.4,90.4,91,87,41.83,13.58,5.877,20,0,110.7,101.1,141.9,100,13.8,8.9,60,0,100,46,42,56,43,58.55,83.05,74.87,69.24,25.8,60.66,71.91
20,49,62.69,62,54.07,53.3,85.74,85.4,99.78,99.8,94.96,76.3,61.8,62.57,93.08,31.93,123.7,-62.59,77.46,69.51,6.906,-1.045,78.3,3.478,1.011,159.1,215.8,7.8,3.5,45.4,40.6,103.3,131.5,12.1,50.9,5.7,132.3,28.5,91.6,94,90,23.38,7.144,5.618,20,0,112.2,103.5,142.4,101,14.2,8.8,60,0,100,46,42,56,32,58.47,80.43,66.27,64.86,34.9,117.6,69.72
22,49,60.64,60.2,51.99,51.4,85.49,85.3,99.86,99.6,95.25,75.48,60,60.56,94.87,30.46,130.5,-66.13,77.88,72.13,5.068,-0.6781,79.11,3.461,1.016,158.5,216,7.1,3.7,44.3,39.5,103.3,131.5,11.6,49.3,4.9,131.7,28.4,92,94,90,19.37,5.807,5.618,20,0,113.3,105.5,140.4,100.1,14.5,9,60,0,100,46,42,56,32,58.43,81.21,64.02,62.45,32.09,77.3,70.9
24,49,59.41,59.6,50.88,50.6,85.33,84.8,99.66,99.4,95.41,75.11,58.81,59.58,94.45,27.98,133.8,-67.37,76.27,70.93,6.866,1.523,78.8,3.403,1.033,158.2,214.6,7.2,3.5,43.8,39,102.9,130.5,11.3,48.3,4.7,131.2,28.3,90.5,95,91,14.89,4.484,5.533,20,0,114.7,107.1,141.9,102.1,14.3,8.8,70,0,100,46,42,56,25,58.39,82.27,64.84,62.08,28.12,59.68,74.36
26,49,59.41,59.6,50.8,50.8,85.29,85.1,99.53,99.2,95.41,74.98,58.61,59.54,94.27,27.27,135.2,-68.17,77.28,70.08,8.361,1.162,78.86,3.446,1.02,158.8,215.3,7.3,3.7,43.6,38.7,102.9,130.5,11.7,48.3,4.7,131.5,28.6,91.7,94,90,19.13,5.772,5.618,20,0,115.6,108.4,138.5,99.2,14.1,8.8,70,0,100,46,42,56,28,58.43,83.05,65.29,62.4,26.59,69.58,76.46
28,49,59.49,59.7,51,50.8,85.25,84.9,99.49,99.2,95.29,74.98,58.73,59.62,94.45,27.87,134.6,-68.03,76.56,69.69,8.033,1.167,79.34,3.393,1.036,159.1,216.4,7.6,3.7,43.3,38.5,102.9,130.5,11.7,48.2,4.9,132,28.8,92,95,91,16.44,4.949,5.533,20,0,116.2,109.6,139,99.5,14.1,8.8,70,0,100,46,42,56,28,58.39,83.01,65.33,62.45,27.17,66.85,76.73
30,49,59.66,59.7,51.08,50.9,85.33,84.9,99.58,99.4,95.37,75.11,58.81,59.75,93.56,27.61,133.1,-67.12,77.34,69.74,8.407,0.7982,80.11,3.394,1.036,157.6,216.5,7.6,3.7,43.3,38.5,103.1,131,11.7,48.3,4.8,132,29.2,92.8,96,92,23.11,7.025,5.448,20,0,116.9,110.5,140.9,101.7,14.3,8.8,70,0,100,46,42,56,28,58.39,82.93,65.41,62.57,27,70.97,75.01
32,49,59.57,59.7,51,50.8,85.37,85.3,99.7,99.8,95.54,75.07,58.73,59.66,94.59,27.48,135.1,-68.01,77.34,69.74,8.407,0.7988,80.77,3.367,1.044,158.4,216.5,7.5,3.5,43.3,38.5,103.3,131.5,12.1,48.2,4.9,132.6,29.3,92.7,97,93,20.12,6.049,5.363,20,0,117.4,111.1,140.9,99.8,14.5,8.9,70,0,100,46,42,56,32,58.43,83.09,65.45,62.49,26.74,68.03,76.67
34,49,59.53,59.7,50.96,50.8,85.33,85.1,99.7,99.4,95.37,75.07,58.73,59.66,95.41,28.73,134.8,-68.14,76.95,69.75,8.364,1.162,80.9,3.344,1.051,159.4,215.4,7.5,4.2,43.3,38.5,103.6,132,12.2,48,4.8,132.9,29,93.7,97,93,15.97,4.762,5.363,20,0,117.8,112,141.4,101.9,14.5,8.8,70,0,100,46,42,56,28,58.39,82.56,65.41,62.49,28.53,68.63,76.92
36,49,59.53,59.7,50.96,50.9,85.33,85.1,99.7,99.4,95.41,75.03,58.73,59.66,94.89,28.3,134.6,-68.04,76.68,69.5,8.335,1.158,80.91,3.332,1.055,158.5,214.7,7.7,4.2,43.3,38.5,103.6,132,12.6,48.2,5,132.9,29.3,92.7,97,93,16.87,5.058,5.363,20,0,118.5,112.7,140.4,101.4,14.3,8.8,70,0,100,46,42,56,28,58.43,82.6,65.58,62.57,28.1,66.53,76.67
38,49,59.62,59.7,51.04,50.9,85.41,85.3,99.7,99.6,95.58,75.15,58.81,59.79,94.57,27.28,135.2,-67.92,77.68,70.41,8.814,1.544,80.36,3.398,1.035,158.9,217.5,7.7,4.6,43.2,38.3,104,133,12.6,48.2,5,132.9,28.9,95.2,96,92,20.97,6.308,5.448,20,0,118.8,113.1,140.9,102.1,14.5,8.8,70,0,100,46,42,56,32,58.43,83.22,65.9,62.65,26.42,65.04,76.13
40,49,59.78,60,51.21,51.1,85.33,85.1,99.74,99.6,95.37,75.11,58.9,59.91,95.32,28.89,134,-67.6,77.02,69.08,9.108,1.163,81.04,3.341,1.052,158.7,215.6,7.4,5.1,43.5,38.7,104.7,134.5,13.7,48.3,5.1,132.9,27.8,96.2,97,93,16.71,4.987,5.363,20,0,119.2,113.6,140.9,101.6,14.3,9.1,60,0,100,46,42,56,28,58.43,82.52,65.94,62.9,28.78,71.72,76.93
