Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
0,50,61.09,61.1,62.22,62.2,63.67,63.6,64.57,64.5,64.87,67.21,62.87,63.59,1.45E-46,4.84E-47,3.77E-46,5.70E-46,1.46E-46,8.33E-47,9.38E-47,3.23E-46,1.68E-45,5.13E-46,1.68E-45,3.87E-45,3.10E-45,0,0,62.4,60.7,62.3,60.6,0,80.2,17.8,70.8,8.6,0,0,0,0,0,23.27,1,29,101.9,84.8,56.6,0,1.1,0,0,0,100,100,57,56,0,63.43,69.21,64.18,68.22,2.01E-46,5.58E-46,3.01E-45
2,50,63.42,63.9,63.41,63.7,64,63.9,64.12,63.9,64.17,64.09,63.4,63.76,1.363,0.6142,0.88,1.097,0.07765,-0.05083,1.893,1.764,1.68E-45,0.273,1.68E-45,270.4,126.7,0.1,0,63.6,62.4,63.8,62.6,0,81.3,17.7,70.8,6.8,0.4,0,0,-1.276,-26.63,23.27,6,0,104.3,84.8,58.6,0,0,0.2,0,0,100,100,57,30,30,63.1,64.01,64.14,64.17,14.74,45.43,269.2
4,50,64.12,64.4,64.06,64,64.12,64,64.2,64.2,64.17,64.09,64.18,64.29,0.8979,0.3068,0.8763,-0.2852,0.2987,0.6073,0.6046,0.9132,1.68E-45,1.05,1.68E-45,269.3,128.6,0.3,0,63.9,62.7,64.1,63.1,0,81.5,17.4,70.6,6.5,0,0,0,0,0,23.27,6,0,106.5,84.8,58.1,0,0.2,0.2,0,0,100,100,57,31,30,61.95,63.48,64.51,64.41,4.823,14.51,254.7
6,50,64.32,64.5,64.31,64.2,64.08,64,64.16,63.9,64.05,64.01,64.34,64.49,0.9062,1.237,0.4213,-0.7517,0.08378,0.1785,0.8757,0.9704,1.68E-45,0.2946,1.68E-45,271.8,136.7,0.7,0,63.7,62.5,63.8,62.6,0,80.8,16.9,70.6,6.5,0,0,0,0,0,23.27,15,0,108.2,84.8,127,63.7,0,0.1,0,0,100,100,57,31,30,60.4,62.66,64.72,64.57,13.11,21.02,267.5
8,49,64.04,63.9,61.12,59.3,65.72,66.5,67.84,70,66.91,65.94,63.85,64,24.04,10.49,11.06,2.489,16.81,15.72,0.8847,-0.1971,33.89,1.743,2.017,271.3,138,4,0,55.3,51.7,68.1,68.5,0,61.7,6.3,101.9,34,16.1,38,37,8.445,9.99,11.36,20,0,107.3,85.6,138.5,85.3,3.3,4.6,60,90,100,59.49,50.93,31,20,59.99,63.93,64.26,64.25,63.85,21.23,-106.1
10,49,63.51,63.7,56.65,54.9,70.14,71.8,74.03,76.8,72.93,69.21,62.38,63.68,44.02,12.36,42.15,-10.49,39.45,32.94,7.485,0.9808,45.66,3.037,1.158,271.8,138.2,6.7,1.8,48.2,43.5,78.6,84.4,7.4,55.3,7.1,118.3,39.9,40.7,54,52,29.57,19.11,9.315,20,0,106.3,87.8,135.5,92.7,5.1,8.8,60,90,100,56.44,50.53,31,20,59.82,68.64,71.47,67.28,33.66,42.83,59.35
12,49,63.42,63.6,53.34,52.4,75.38,77.3,80.9,83.5,79.73,73.1,61.8,63.51,62.08,13.19,74.48,-25.59,59.28,49.75,10.05,0.5202,54.98,3.791,0.9275,269.6,141,6.8,2,45.6,40.8,85.5,96.3,7.6,51.4,6.2,116.9,31.4,56.4,64,61,45.11,20.67,8.323,20,0,106.3,90.7,139.4,98.1,6.4,11.4,60,90,100,53.39,50.12,31,20,59.74,73.8,72,67.81,22.52,57.49,89.54
14,49,63.3,63.4,51.37,50.8,80.09,81.5,86.68,88.7,85.42,76.38,61.64,63.43,74.11,14.12,101.7,-41.73,70.06,60.3,10.52,0.7601,63.63,3.871,0.9083,269.9,140.9,6.6,2.5,44.4,39.6,91.2,106.7,7.4,49.1,4.8,117.4,26.2,67.1,75,72,49.39,18.96,7.233,20,0,106.7,93.4,143.4,103.1,7,12.5,70,90,100,50.34,49.71,31,20,59.66,78.34,72.21,67.77,18.14,56.88,109.9
16,49,63.79,64.4,51.37,51.6,83.77,84.8,90.77,92.3,89.48,78.71,62.21,64.09,77.71,14.4,119.5,-56.2,73.58,64.22,11.1,1.737,67.11,3.855,0.912,266.5,142.2,8.1,2.5,43.3,38.5,94.5,113.7,6.8,48.3,5.2,119.9,25.7,75.2,78,75,52.58,19.24,6.952,20,0,107.5,96.2,142.4,103.1,7.5,13,60,90,100,47.29,49.31,31,20,59.5,81.82,73.15,68.67,15.48,59.44,123.3
18,49,64.82,65.3,52.03,52,85.66,86,93.11,93.7,91.24,79.82,63.19,65.07,82.67,20.75,126.7,-64.8,74.9,65.4,10.97,1.477,70.63,3.728,0.943,266.3,140.5,8.9,2.3,43.1,38.2,96.2,116.6,6.6,48.2,5.1,123.2,26.7,78.4,82,79,43.33,14.91,6.586,20,0,108.4,98.4,144.4,105.7,7.9,13.3,60,0,100,46,49,31,41,59.37,80.51,74.05,69.65,23.55,59.86,128.8
