Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
0,50,65.92,65.9,65.91,65.9,64.69,64.5,64.57,64.4,64.42,64.67,65.53,66.17,-2.01E-47,2.42E-47,4.02E-47,-4.10E-48,1.90E-48,-4.88E-47,8.32E-47,3.26E-47,1.68E-45,6.67E-48,1.68E-45,3.87E-45,3.10E-45,0,3.7,68.3,68.8,68.1,68.5,0,80.4,12.2,70.8,2.8,0,0,0,0,0,23.27,1,27,110.5,87.3,64.1,0,0,0.1,0,0,100,100,57,56,0,55.89,62.25,68.36,68.14,9.13E-47,2.00E-45,2.70E-45
2,39,65.92,66.2,65.66,64.8,65.27,65.4,65.55,67,65.24,65.24,65.82,66.01,3.191,3.518,0.04206,-0.2842,2.34,1.385,1.75,0.7955,30.99,0.2654,13.25,268.9,215.7,1.7,7.1,63.1,61.7,74.1,77.5,4.3,73.9,10.6,73.5,0,15.6,36,35,28,249.5,11.7,20,0,107.7,87.7,151.4,87.7,1.4,1.4,0,0,100,100,57,56,0,56.1,62.5,66.44,66.38,13.19,42,235.7
4,39,65.47,65.1,62.39,61.4,68.34,69.8,71.32,73.6,70.4,68.64,65.28,65.44,33.2,10.32,19.53,3.358,27.9,26.2,1.391,-0.3105,42.17,2.326,1.511,266.8,217,2.9,8.7,58.3,55.3,82.3,90.8,10.5,62.5,4.4,115.1,32.8,36.9,50,48,23.53,20.16,9.8,20,0,105.7,89,154.8,99.9,3.8,3.7,0,0,100,100,57,56,0,56.26,62.87,65.7,65.56,37.49,33.38,-91.15
6,39,64.94,65.4,59.89,60,72.68,73.9,77.14,78.9,76.78,73.02,64.91,65.11,49.21,3.914,41.51,3.784,45.17,44.95,1.742,1.524,50.34,3.155,1.114,264.8,214.6,10.5,11.3,49.4,44.8,90.2,104.7,16.6,58.9,9.7,127.9,38,60.9,58,56,36.14,20.88,8.86,20,0,106.1,92.1,153.8,108.2,5,5.5,0,0,100,100,57,56,0,56.38,64.5,65.17,65.19,11.57,41.8,-21.94
8,49,66.09,66.7,59.56,59.7,75.99,77,81.44,82.8,81.04,76.25,66.18,66.38,60.3,4.385,53.02,2.893,58.89,59.77,1.758,2.647,57.58,3.596,0.9778,265.9,216.6,11.1,11.8,48.7,44,94.5,113.2,16.9,57.9,9.3,132.9,38.4,69.7,67,64,52.6,24.81,8.015,20,0,107.5,95,155.8,110.5,6,7,20,0,100,59.44,50.94,56,17,56.59,66.88,66.52,66.38,10.23,42.18,-33.85
10,49,65.92,65.8,58.7,58.6,78.98,79.9,85.08,85.8,84.07,76.58,65.82,65.89,68.53,11.35,84.15,-26.97,65.07,64.12,0.6474,-0.3099,62.19,3.679,0.9557,269.7,216.3,10.9,12.2,47.7,43,97.7,120.1,16,56.6,8.8,133.8,36.4,77.2,72,69,50.05,20.77,7.52,20,0,109,98,154.8,111,6.1,7.2,20,0,100,56.06,50.61,56,17,55.73,77.2,66.07,66.01,12.69,15.54,64.19
12,49,65.51,65.4,58.09,58.2,81.03,81.3,87.46,87.8,86.2,77.4,65.49,65.6,71.84,14.04,98.37,-40.56,66.78,66.56,1.014,0.7961,65.16,3.603,0.9758,268.3,215.8,11.1,12.4,47.1,42.4,100.2,124.6,16.2,55.8,8.6,135.3,35.1,81.7,76,73,47.36,18.75,7.139,20,0,110.5,100.5,157.3,113.6,6.3,7.2,20,0,100,52.68,50.27,56,17,55.77,78.79,65.78,65.72,14.63,24.34,86.75
14,49,65.43,65.6,57.84,58,82.67,83,89.26,89.8,88,77.97,65.36,65.56,73.39,13.98,111.7,-52.26,68.24,67.65,1.751,1.164,67.84,3.536,0.9942,267.3,215.8,11.1,12,46.9,42.2,101.8,128,16.2,55.3,8.4,136.8,35,86.3,78,75,49.73,19.27,6.952,20,0,112.4,102.8,156.3,113.4,6.6,7.6,20,0,100,49.3,49.93,56,17,55.89,80.39,65.7,65.6,13.7,42.03,105.3
16,49,65.43,65.6,57.8,58,84.1,84.3,90.85,91.2,89.52,78.34,65.45,65.6,75.37,14.93,124.7,-64.26,68.2,68.35,1.374,1.523,69.48,3.451,1.019,267.8,214.5,10.9,11.9,47.1,42.4,103.1,131,16.1,55.2,8.4,138.7,35.3,89.1,80,77,44.25,16.7,6.768,20,0,113.8,105.1,156.8,115.4,6.7,7.6,20,0,100,45.92,49.59,56,17,55.69,81.66,65.7,65.6,13.79,32.98,121
18,49,65.55,65.6,57.92,58.2,85.04,84.9,91.96,91.9,90.38,78.55,65.57,65.68,76.99,17.62,131.7,-72.28,68.69,68.84,1.015,1.166,70.54,3.424,1.027,267.1,216,11.2,12.1,46.9,42.2,104,133,16.2,55.3,8.5,139.7,35.7,91.4,81,78,41.34,15.27,6.677,20,0,115.1,106.5,156.8,113.9,7,7.6,20,0,100,42.54,49.25,56,22,55.57,81.13,65.78,65.72,16.55,24.37,127.4
