Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
0,50,62.28,62.3,63.2,63.1,64.28,64.2,65.14,65,66.18,67.78,64.75,65.76,1.38E-46,1.67E-46,2.58E-46,5.63E-46,1.20E-46,2.00E-46,1.31E-46,4.50E-46,1.68E-45,4.21E-46,1.68E-45,3.87E-45,3.10E-45,0.3,0,63,61.5,63.1,61.6,0,80.8,17.8,71.1,8,0,0,0,0,0,23.27,1,29,103.7,85.3,57.1,0,1,0,0,0,100,100,57,56,0,65.23,70.15,67.01,71.33,8.15E-46,7.26E-46,8.76E-46
2,50,64.73,65.3,64.76,65,64.94,65,65.02,64.8,65.11,65.08,64.83,65.15,0.8935,1.066,0.414,1.545,0.2335,0.6448,2.832,3.711,1.68E-45,0.8211,1.68E-45,268,214.1,0.3,0,64.7,63.8,64.9,64.1,0,82,17.1,71.1,6.2,0,0,0,0,0,23.27,6,0,102.7,85.3,59.6,0,0,0.3,0,0,100,100,57,56,30,64.49,65.08,65.58,65.6,25.58,67.98,252.5
4,50,65.35,65.6,65.42,65.3,65.27,65.1,65.35,65.3,65.28,65.24,65.41,65.6,0.899,0.7674,0.4166,-0.2849,0.5985,-0.0846,1.735,2.249,1.68E-45,2.104,1.68E-45,269.6,213.9,0.3,0.1,65,64.3,65.2,64.6,0,82.2,17.2,71.1,5.7,0.3,0,0,0,0,23.27,6,0,104.7,85.6,59.6,0,0,0.3,0,0,100,100,57,56,30,61.99,64.5,65.78,65.72,7.339,41.64,267.6
6,50,65.39,65.3,65.42,65.3,64.9,64.5,64.98,64.7,64.74,64.83,65.41,65.52,0.8995,2.609,0.963,-0.7462,0.2359,-0.08552,1.016,1.167,1.68E-45,0.8295,1.68E-45,269.8,216.3,0.4,0,64.7,63.8,64.1,63.1,0,80.7,16.2,71.2,6.7,0,0,0,0,0,23.27,17,0,107.1,85.4,127,62.2,0.2,0.2,0,0,100,100,57,56,30,58.23,62.33,65.66,65.64,15.25,24.39,267.7
8,49,64.45,64,62.06,60.8,66.08,67.2,68.62,70,67.41,66.18,64.3,64.37,28.4,13.6,13.71,1.091,21.55,20.22,0.6484,-0.6789,33.81,2.241,1.569,268.7,216.4,5.4,0,55.4,51.9,68.8,69.5,0,62.5,7.2,102.3,34.4,17.8,39,38,9.728,9.743,11.2,20,0,106.5,86.5,136.5,83.5,2.8,3.2,60,90,100,59.49,50.93,56,20,57.29,63.28,64.72,64.66,54.49,15.56,-127.6
10,49,63.63,63.4,57.64,56.5,70.22,72,75.01,78.1,73.55,69.01,62.62,63.64,53.85,16.42,51.06,-13.64,53.91,44.85,9.118,0.05957,47.53,3.987,0.8818,269.9,215.9,6.9,1.1,49.4,44.8,79.2,85.4,7.2,56.3,6.9,116.9,37.7,41.1,54,52,47.73,25.21,9.315,20,0,105.7,88.5,139.4,93.3,5.9,7.1,60,90,100,56.44,50.53,56,20,56.96,68.15,72.99,67.69,35.22,41.29,32.86
12,49,62.77,62.6,54.44,28,75.75,77.6,82.58,85.4,81.12,72.86,61.43,62.86,76.86,16.42,92.96,-32.51,74.86,62.86,12.79,0.7959,63.95,4.116,0.8543,269.9,215.8,6.2,3.5,47.2,42.5,88.9,102.3,8.4,52.4,5.3,115.1,26.4,60.6,76,73,56.9,21.06,7.139,20,0,105.9,91.2,139.9,96.7,7.8,9.3,90,90,100,53.39,50.12,56,20,56.88,74.04,72.25,67.4,22.96,63.32,87.37
14,49,62.36,62.6,52.72,52.5,80.78,82.2,88.81,90.8,87.35,76.09,61.02,62.53,89.54,16.3,125.6,-52.38,86.53,74.55,13.51,1.53,72.7,4.185,0.8401,267.8,215.5,7.3,3.5,45.1,40.4,94.3,112.7,8.3,50.3,5.1,116.9,22.6,72.3,87,83,62.12,19.73,6.228,20,0,106.7,93.9,141.9,100.6,8.6,10.1,60,90,100,50.34,49.71,56,20,56.88,79.24,72.17,67.15,17.49,64.7,108.9
16,49,63.06,63.9,53.3,53.6,84.39,85.1,92.7,94.3,91.15,78.1,61.84,63.35,91.8,17.04,144.2,-69.48,87.71,76.82,13.52,2.635,75.96,4.06,0.866,265.1,215.7,8.8,3.2,44.8,40,97.7,119.1,8.7,50.3,5.9,120.9,23,79.5,91,87,61.58,19.08,5.877,20,0,107.7,96.6,141.4,100.9,9,10.3,60,90,100,47.29,49.31,56,23,56.83,82.56,72.9,67.85,15.89,64.23,123.9
18,49,64.16,64.5,54.2,54.2,85.9,85.8,94.58,95,92.22,78.59,62.74,64.33,96.29,26.2,151.2,-81.14,89.98,77.19,14.33,1.539,78.51,4.03,0.8725,266.3,216.7,10.1,3.7,44.3,39.5,98.7,121.6,8.2,50.6,6.3,124,25.3,82.8,94,90,56.33,16.64,5.618,20,0,108.8,98.9,141.9,102.4,9,10.1,60,0,100,46,49,56,37,56.59,79.94,75.12,69.41,26.93,60.24,130.4
20,49,63.38,62.9,53.46,53,85.78,85.6,94.91,95,92.06,78.22,62.38,63.31,101.4,31.67,153.6,-83.94,89.12,80.07,8.367,-0.6761,80.58,3.888,0.9042,266.5,215.5,9.3,3.7,43.5,38.7,98.7,121.6,8.2,49.5,5.9,124.7,26.3,83.3,96,92,37.51,10.52,5.448,20,0,109.8,101.1,143.4,102.1,9.6,10.1,60,0,100,46,49,56,37,56.34,78.02,68.44,66.13,35.08,86.9,127.6
22,49,61.83,61.6,51.82,51.2,85.66,85.4,94.99,95,92.22,77.69,61.02,61.92,103.2,30.63,160.6,-88.09,89.46,82.28,7.964,0.791,82.23,3.825,0.9192,265.3,214.6,8.3,3.7,42.9,38,98.7,121.6,7.9,48,4.8,124.5,25.3,83.6,99,95,33.98,9.366,5.194,20,0,110.9,103.1,142.9,104.2,9.4,10.2,60,0,100,46,49,56,32,56.1,78.55,66.8,64.37,32.74,78.54,129.4
24,49,60.84,60.8,50.8,50.4,85.49,85.1,95.03,94.8,92.34,77.48,60.16,60.93,105.6,29.76,164.5,-88.65,89.85,83.77,6.868,0.7918,82.73,3.819,0.9208,265.6,214.6,7.8,3.7,42.4,37.5,98.5,121.1,7.9,47.2,4.6,124.2,25.7,84.1,99,95,27.46,7.397,5.194,20,0,112,104.5,143.4,104.9,9.5,10.4,70,0,100,46,49,56,28,56.06,79.08,66.07,63.51,31.02,64.48,130.3
26,49,60.43,60.3,50.39,50.1,85.41,85.1,94.91,95,92.3,77.28,59.67,60.56,105.6,28.97,167,-90.39,89.93,83.12,7.974,1.159,82.68,3.824,0.9194,266.7,214.8,7.7,3.7,42.3,37.5,98.7,121.6,8,46.8,4.4,123.7,25.3,84.2,99,95,27.74,7.474,5.194,20,0,112.7,106.1,144.9,106.9,9.7,10.2,70,0,100,46,49,56,28,56.02,79.53,65.86,63.18,29.57,71.43,134
28,49,60.27,60.3,50.22,50.1,85.41,85.3,94.87,94.6,92.26,77.2,59.51,60.4,104.8,28.88,166.9,-91.01,89.96,83.14,7.976,1.158,82.46,3.835,0.9167,265.9,214.9,8,3.9,42.1,37.2,98.7,121.6,7.8,46.8,4.7,124,25.2,84.4,99,95,30.36,8.242,5.194,20,0,113.3,107.1,143.4,106,9.5,10.2,70,0,100,46,49,56,32,55.93,79.74,65.82,63.1,29.12,70.37,133.5
30,49,60.23,60.3,50.22,50,85.37,85.1,94.83,94.6,92.26,77.15,59.47,60.4,104.8,28.42,167.3,-91,89.86,83.03,8.368,1.53,82.16,3.845,0.9143,265.9,215.6,8,4.1,42.1,37.2,98.7,121.6,8,46.8,4.7,124,25.2,83.9,99,95,29.8,8.092,5.194,20,0,113.8,108.2,143.4,105.5,9.3,10.2,70,0,100,46,49,56,28,55.89,79.86,65.82,63.06,28.47,72.73,133.9
32,49,60.27,60.5,50.31,50.1,85.33,85.1,94.78,94.8,92.22,77.2,59.51,60.4,104.1,28.24,165.3,-89.5,89.46,82.62,7.997,1.161,82.7,3.803,0.9245,264.1,215.5,8.1,4.2,42,37.1,99,122.1,8.5,46.8,4.7,124,25.2,84.4,99,95,31.34,8.565,5.194,20,0,114.2,109,143.4,105.5,9.5,10.4,70,0,100,46,49,56,28,55.85,80.02,65.86,63.14,28.04,70.56,132.1
34,49,60.31,60.5,50.35,50.1,85.37,85.1,94.87,94.6,92.22,77.2,59.59,60.48,105.7,29.46,167.1,-90.94,89.43,82.96,7.995,1.529,82.74,3.8,0.9252,267,215.4,8.1,4.6,42,37.1,99.2,122.6,8.7,46.8,4.8,124.2,25,85.4,100,96,25.64,6.902,5.11,20,0,114.9,109.4,143.9,106.8,9.7,10.2,70,0,100,46,49,56,28,55.89,79.74,66.15,63.22,29.65,65.6,134.5
36,49,60.35,60.6,50.39,50.3,85.37,85.3,94.87,94.8,92.26,77.24,59.55,60.48,105.1,28.84,166.2,-89.96,89.38,82.19,8.358,1.162,82.88,3.792,0.9272,265.5,215.3,8.2,5.9,42,37.1,100.7,125.6,10.2,46.8,4.7,124.2,23.5,88.5,100,96,27.77,7.519,5.11,20,0,115.1,110.1,143.9,106.3,9.7,10.3,70,0,100,46,49,56,32,55.85,79.74,66.31,63.39,28.98,68.58,134.2
38,49,60.48,60.5,50.43,50.3,85.41,85.3,94.91,95,92.3,77.28,59.63,60.61,105.2,28.87,166.4,-90.06,90.64,83.04,8.776,1.168,83.28,3.827,0.9187,265.8,216.5,7.8,5.7,42,37.4,100.4,125.1,9.7,46.8,4.5,124.2,23.8,88.4,101,97,32.19,8.705,5.026,20,0,115.6,110.7,143.4,105.2,9.7,10.4,70,0,100,46,49,56,32,55.81,79.61,66.35,63.47,29.11,73.04,133.1
40,49,60.48,60.6,50.47,50.3,85.53,85.3,95.11,95,92.38,77.36,59.67,60.61,106.3,30.28,166.6,-90.67,90.2,82.97,8.4,1.167,83.75,3.787,0.9285,266.2,216.4,8.2,5.9,42.1,37.2,100.9,126.1,9.7,46.8,4.8,124.5,24.3,89,100,96,27.29,7.304,5.11,20,0,115.7,110.9,142.9,105,9.7,10.3,70,0,100,46,49,56,32,55.85,79.98,66.39,63.43,30.12,67.98,133.7
42,49,60.48,60.5,50.43,50.3,85.49,85.4,95.07,95.2,92.42,77.36,59.67,60.61,106,29.3,166.7,-89.98,90.41,83.19,8.385,1.165,84.06,3.781,0.9298,265.5,216,8.3,5.5,42,37.1,100.7,125.6,10.2,46.8,4.8,124.7,23.6,88,100,96,29.3,7.862,5.11,20,0,116.2,111.1,143.4,105.5,9.8,10.2,70,0,100,46,49,56,32,55.85,79.69,66.52,63.47,29.49,66.03,133
44,49,60.43,60.6,50.39,50.3,85.49,85.3,95.07,95,92.38,77.32,59.63,60.56,106.2,29.82,167.1,-90.65,89.96,82.78,8.343,1.159,84.2,3.757,0.936,266.2,214.9,8.3,5.7,42,37.1,100.7,125.6,10.2,46.6,4.8,124.5,24,88.9,101,97,26.95,7.214,5.026,20,0,116.4,111.6,142.4,104.7,9.7,10.3,70,0,100,46,49,56,32,55.81,79.61,66.52,63.47,30.07,65.7,134.3
46,49,60.39,60.5,50.31,50,85.45,85.3,95.11,95,92.38,77.28,59.55,60.52,107,30.22,167.2,-90.5,90.59,83.02,8.735,1.163,84.37,3.775,0.9314,265.7,215.5,8.1,5.7,42,37.1,100.7,125.6,10.2,46.8,4.8,124.7,24,89,102,98,26.78,7.121,4.943,20,0,116.7,111.6,143.9,106.5,9.7,10.2,70,0,100,46,49,56,32,55.81,79.53,66.23,63.35,30.58,72.7,133.8
48,50,60.27,60.3,50.18,50.1,85.53,86.6,95.11,95.3,92.46,77.28,59.51,60.4,106.3,29.37,168.4,-91.57,90.25,83.44,7.97,1.157,80.63,3.936,0.8934,266.2,214.7,7.9,5.8,42.3,37.4,101.1,126.6,10.6,46.8,4.4,124.7,23.6,89.6,95,91,24.38,6.526,5.533,20,0,116.9,112,137,98.8,8.5,10,40.34,0,100,25,49,56,38,55.81,79.69,65.53,63.26,29.51,84.28,134.3
50,50,57.45,57.1,50.14,49.6,87.01,86.1,94.21,93.2,91.48,70.97,56.97,57.45,79.75,30.22,227,-177.5,65.49,61.23,4.316,0.05938,65.52,3.514,1.001,265.7,215.2,7.5,4.3,42.1,37.2,97.2,118.6,6.5,47.3,5.2,127.4,30.5,81.7,77,74,15.37,5.48,7.045,20,0,116.9,112.2,142.4,104.4,7.1,7.5,42.35,0,100,25,49,56,38,55.85,77.48,59.27,58.68,33.53,103.6,194
52,50,56.5,57.1,50.59,50.8,84.71,84,90.65,89.6,88.74,69.38,56.32,56.8,66.52,21.42,217,-171.9,52.95,51.27,4.313,2.628,55.95,3.328,1.057,269,215,8.3,3.6,42.6,37.7,93.2,110.7,5.9,48.5,5.7,129,35.5,72.3,65,62,8.243,3.524,8.219,20,0,117.1,112.2,140.4,127,5.4,6.1,34.36,0,100,25,49,56,20,55.81,78.38,58.25,57.61,22.77,103.5,205.4
54,50,56.71,56.9,50.55,50.4,84.71,84.8,90.69,90.5,88.98,69.38,56.52,56.88,66.72,19.05,218.9,-171.3,55.49,53.79,3.231,1.536,57.27,3.406,1.032,268,216.3,7.8,3.5,42.8,37.9,94,112.2,6.4,48.5,5.7,128.7,34.7,74.2,66,63,17.78,7.577,8.116,20,0,117.4,112.4,141.4,102.6,5.7,6.5,46.37,0,100,25,49,56,20,55.81,80.88,58.41,57.74,18.23,77.56,202.1
