Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
0,50,57.12,57.2,57.1,57.4,67.64,67.6,69.36,69.7,68.39,67.66,57.91,58.03,2.77E-46,1.56E-46,1.18E-46,2.49E-48,1.91E-48,1.04E-46,1.46E-47,1.17E-46,1.68E-45,6.70E-48,1.68E-45,3.87E-45,3.10E-45,0,0,59.6,56.9,60.5,58.1,0,74.9,15,122,61.5,0.9,0,0,0,0,23.27,1,29,111.6,110.9,52.6,0,2.1,0,0,0,100,100,57,56,0,56.96,68.23,57.8,58.72,3.33E-46,3.50E-46,1.36E-45
2,50,60.97,62,60.87,61.6,63.91,62.5,64.49,62.6,64.34,63.48,61.27,61.42,6.43,1.69,9.634,-4.894,0.8718,3.606,1.387,4.121,1.68E-45,3.065,1.68E-45,270.1,216.4,0.1,0,61.5,59.5,61.6,59.6,0,76.2,14.8,119.9,58.3,0.3,0,0,-19.09,-84.45,23.27,6,0,110.1,110.1,55.6,0,0.5,0.4,0,0,100,100,57,56,30,56.1,61.76,61.44,61.3,7.165,33.29,183.5
4,50,62.03,62.3,62.06,62,62.11,61.7,62.56,61.7,62.04,61.96,62.05,62.2,5.044,5.832,0.8789,-1.667,0.2342,-0.08556,1.376,1.524,1.68E-45,0.8233,1.68E-45,269.9,214.6,0.6,0.3,61.6,59.6,62,60.1,0,75.7,14,118.3,55.8,0.8,0,0,-14.22,-80.17,23.27,6,0,109,109.4,55.6,0,0,0.1,0,0,100,100,57,56,30,56.22,59.63,62.38,62.28,41.04,33.01,267.8
6,50,62.03,62.2,62.06,61.9,61.66,61.6,61.95,61.6,61.59,61.55,62.05,62.16,3.217,4.01,0.4204,-1.213,0.2337,-0.0854,1.007,1.155,1.68E-45,0.8218,1.68E-45,271.2,214.2,0.5,0,61.4,59.3,61.6,59.6,0,75.4,14,116.4,54.6,0.8,0,0,-7.797,-68.92,23.27,15,0,107.5,108.4,120.1,58.7,0,0.2,0,0,100,100,57,56,30,55.98,59.18,62.34,62.28,30.02,24.17,269.2
8,49,61.09,60.5,58.13,57.1,63.5,65,66.41,68.3,65.24,63.6,60.9,60.93,32.67,13.2,18.38,1.095,26.68,24.98,0.2782,-1.415,32.89,2.852,1.233,269.9,216.1,10.4,0.9,46.8,42.1,69.2,70,0,56.8,10.2,123.2,54.3,28.8,37,36,11.8,10.27,11.53,20,0,106.9,107.1,129.5,86.5,3.5,3.3,60,90,100,59.49,50.93,56,20,55.89,61.02,61.19,61.26,61.76,6.677,-97.02
10,49,60.03,59.9,53.66,53,68.42,70.4,73.74,76.7,72.36,66.96,58.98,60.07,60.3,15.62,61.2,-16.53,57.1,47.69,9.833,0.427,47.98,4.184,0.8403,272,215.4,7.2,2.8,45.6,40.8,79.5,85.9,5.6,52.4,6.8,116.4,36.5,44.8,55,53,36.74,17.33,9.199,20,0,107.3,106.5,134.5,93.1,6.3,7.1,60,90,100,56.44,50.53,56,20,55.89,66.67,69.87,64.45,34.78,43.52,60.04
12,49,59.94,60.2,51.41,50.8,73.99,76,81.11,84.2,79.61,71.01,58.53,60.2,79.91,16.84,96.42,-33.36,76.37,63.69,14.94,2.258,62.74,4.28,0.8215,269.3,214.8,6.6,2,44.3,39.5,86.9,97.8,6.1,49.1,5,111.3,24.4,58.3,72,69,50.29,17.9,7.52,20,0,108.2,106.9,136.5,96.4,8.2,9.3,80,90,100,53.39,50.12,56,20,55.85,72.32,71.88,65.68,24.54,57.82,91.41
14,49,60.6,61.1,51.08,51.1,78.86,80.4,86.88,89,85.42,74.33,59.06,60.89,89.77,16.34,124.1,-50.68,85.69,71.83,16.51,2.642,68.86,4.375,0.8036,268.5,216.2,7.5,0.4,43.6,38.8,89.6,103.7,4.3,48.7,5.2,112.9,23,65,80,77,54.51,17.27,6.768,20,0,109.2,107.3,139.4,100.1,8.7,10,75,90,100,50.34,49.71,56,20,55.89,76.95,72.41,66.38,18.62,65.62,113.1
16,49,61.75,62.5,51.74,51.9,82.87,84.2,91.43,93.4,89.76,76.79,60.37,62.08,94.85,18.46,143.9,-67.47,90.19,77.79,15.41,3.012,74.46,4.259,0.8256,266.1,216.3,8.4,0.3,43.5,38.7,93.7,111.7,4.5,48.7,5.2,116.2,22.5,73,88,84,58.05,17.4,6.14,20,0,110.3,108,139.4,100.1,9.4,10.6,75,90,100,47.29,49.31,56,20,55.93,80.59,73.31,67.44,17.97,62.98,122.2
18,49,63.14,63.6,52.89,53.2,85.74,86,94.58,95.7,92.51,78.34,61.64,63.35,98,22.99,157,-81.97,92.12,78.65,15.36,1.899,78.22,4.141,0.8491,266,215.7,9.7,0.5,43.5,38.7,96.2,116.6,4.3,49.5,6,120.2,23.7,77.4,92,88,57.53,16.7,5.791,20,0,111.3,108.6,142.4,102.2,9.6,10.4,60,0,100,46,49,56,34,55.89,80.68,74.34,68.59,22.27,64.13,132.7
