Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
0,39,71.45,71.5,71.48,71.4,71.2,70.8,71.94,70.9,70.97,70.97,71.38,71.46,1.19E-46,1.56E-46,6.15E-49,-3.71E-47,3.39E-48,-1.18E-47,9.27E-48,8.55E-49,1.68E-45,1.19E-47,1.68E-45,3.87E-45,3.10E-45,0.5,0.3,70.9,72.5,71.2,73,0,82.5,11.6,132.9,61.4,0.7,0,0,0,0,23.27,6,0,114.9,108.8,68.5,0,0,0.3,0,0,100,100,57,56,0,60.15,66.55,71.64,71.49,5.86E-46,2.23E-46,3.58E-45
2,50,71.24,71.2,71.31,71.1,70.59,70.3,71.08,70.1,70.27,70.48,71.18,71.25,5.518,9.078,2.35,-1.21,0.6013,-1.185,0.6428,0.05871,1.68E-45,2.114,1.68E-45,270.6,214.8,0.4,0.5,70.5,71.9,70.6,72,0,91,20.6,129.8,59.2,0.8,0,0,-15.89,-81.88,23.27,6,0,114.2,108.2,67,0,0,0.3,0,0,100,100,57,56,30,60.19,66.31,71.47,71.33,35.64,15.43,242.1
4,50,70.67,70.6,70.7,70.4,69.93,69.5,70.26,69.7,69.58,69.83,70.65,70.72,3.66,7.668,2.803,-1.206,0.2351,-0.454,0.6455,0.4266,1.68E-45,0.8266,1.68E-45,269.7,215.5,0.6,0.2,69.8,70.9,69.9,71,0,88.7,18.9,126.8,56.9,0.8,0,0,-9.351,-72.67,23.27,6,0,112.9,107.5,66.5,0,0.2,0.2,0,0,100,100,57,56,30,60.19,65.77,70.86,70.8,32.98,15.49,258.8
6,50,70.14,70.1,70.17,70,69.32,68.9,69.64,69.2,69.04,69.21,70.03,70.1,3.66,6.749,1.883,-1.206,0.2363,-1.192,0.6468,-0.3091,1.68E-45,0.8308,1.68E-45,269.7,216.1,0.5,0.5,69.3,70.1,69.5,70.5,0,85.4,16,124.2,54.7,0.4,0,0,-9.353,-72.68,23.27,15,0,112,106.9,131,59.6,0.3,0.3,0,0,100,100,57,56,30,60.19,65.49,70.32,70.27,30.6,15.52,241.1
8,49,68.95,68.7,66.93,65.8,70.51,70.9,73.04,76,71.62,70.56,68.8,68.88,28.41,15.9,11.88,0.632,18.23,16.9,0.6486,-0.6792,40.61,1.579,2.227,268.8,216.5,9.9,8.3,55.9,52.4,84.3,94.3,5.7,61.4,5.5,137.1,53.6,41.9,49,47,4.809,4.814,9.926,20,0,111.1,105.5,139.9,86.1,4.9,2.9,40,60,100,59.49,50.93,56,20,60.15,66.88,69.14,69.12,56.73,15.57,-113.6
10,49,68.17,67.8,62.47,61.6,74.4,76.2,79.55,83.3,77.56,73.22,67.45,68.18,58.06,22.43,48.82,-13.19,51.18,44.72,6.521,0.0594,50.94,3.533,0.9952,270.2,215.3,10.7,7.9,50.7,46.2,91.2,106.7,16.9,60.3,9.5,136.2,45.3,61,57,55,26.76,13.11,8.971,20,0,111.3,105.5,141.9,94.4,7.1,6.4,40,60,100,56.44,50.53,56,20,60.23,71.87,74.42,70.88,46.25,44.22,22.67
12,49,67.44,67.5,59.93,59.6,78.82,80.5,85.49,89,83.54,76.25,66.47,67.52,74.77,21.87,81.63,-28.73,67.46,58.78,9.476,0.7955,63.36,3.744,0.9392,268.9,215.7,10.5,10.2,49.1,44.5,99.2,122.6,19.5,57.9,8.7,131.7,32.3,77.8,75,72,37.66,14.32,7.233,20,0,112.2,106.1,143.4,94.6,8.6,7.9,40,60,100,53.39,50.12,56,20,60.23,76.54,74.67,70.68,32.19,57.01,75.29
14,49,67.27,67.6,58.86,59.1,82.83,83.8,90.49,93.4,88.41,78.71,66.39,67.48,85.04,23.05,107.8,-45.77,75.65,67.7,9.856,1.901,69.78,3.812,0.9223,266.6,215.9,11.2,7.9,47.9,43.2,101.3,127.1,17,56.5,8.6,132.3,30.7,84.4,81,78,36.79,12.3,6.677,20,0,113.3,107.1,144.9,101.2,9.6,8.7,40,60,100,50.34,49.71,56,20,60.32,80.51,74.5,70.76,27.38,63.18,99.11
16,49,67.97,68.4,59.27,59.7,85.45,86,93.35,95.9,91.11,80.18,67.04,68.22,87.68,24.84,121.3,-58.45,78.1,69.79,10.58,2.267,72.64,3.78,0.9301,266.4,215.6,12,7.9,47.6,42.9,103.8,132.5,16.4,56.6,9,135.6,31.8,89.1,86,82,38.96,12.64,6.317,20,0,114.7,108.6,143.9,100.2,10.1,8.8,40,60,100,47.29,49.31,56,32,60.27,81.66,75.03,71.37,27.88,69.32,113.1
18,49,68.3,68.3,59.52,59.6,86.35,86.3,94.58,96.4,91.77,80.18,67.33,68.38,91.18,31.16,128.4,-68.34,79.03,70.33,9.495,0.7971,74.37,3.736,0.9411,266,216.1,12.8,7.8,46.9,42.2,104,133.5,15.5,56.5,9.7,137.1,33.1,91.3,88,83,31.65,9.872,6.228,20,0,115.7,109.4,143.4,100.5,10.1,8.6,20,0,100,41,49,56,40,60.27,79.2,73.64,71.45,39.5,104.2,120.2
